year,PD,PI,Imp,cEat,CF
1990,140561389,9657560,38852,5739,14.554544729724693
1991,267847887,10979390,84078,6261,24.395516235419272
1992,216230390,12453138,60577,10020,17.363526365804347
1993,160461043,22012461,53016,13312,7.289554902561781
1994,133564567,16490122,39526,8561,8.099671245609947
1995,235385953,10173688,57635,6229,23.136737926305585
1996,313241465,9413767,74213,10264,33.27482664484897
1997,151581097,15520288,44562,14607,9.76664202365317
1998,100710385,39970478,38932,49224,2.5196192299726814
1999,141717057,25926603,52532,32016,5.466086590672909
2000,121329764,10395697,47118,6406,11.671152400844312
2001,118012312,12665063,45093,8203,9.317941174078644
2002,141356437,14811998,53461,9406,9.543374026920608
2003,225821279,13328408,72388,10691,16.942854615494962
2004,151096107,11844989,57130,7266,12.75612049956315
2005,162364288,13412594,53859,7736,12.105360678180523
2006,258247516,17107193,88785,38043,15.095843952891629
2007,196620118,15548952,64910,15915,12.645232810545687
2008,245352295,17616091,83863,35232,13.927737714343097
2009,268250286,30463178,74505,17692,8.805722305138355
2010,269753157,4333085,81984,4295,62.25429618851234
2011,236775015,9563854,65465,7957,24.757280380900838
2012,541255703,18230173,144684,11926,29.690102392336048
2013,181209420,6681920,46721,4456,27.119363895407307
2014,287622666,9435881,73924,8883,30.48180302401016
2015,202522191,10850466,51938,16444,18.66483808160866
2016,160358162,14392946,44741,14303,11.14144123100302
2017,86109204,15617984,24030,13339,5.513464733988714
2018,129898209,13463126,38362,12001,9.648443385288083
2019,203884488,28364331,66446,20981,7.188059115513777
