year,PD,PI,Imp,cEat,CF
1990,399857130,1226342958,269641,668250,0.3260565304277631
1991,213893572,759216104,182113,440363,0.28172949819304677
1992,497239871,2098937241,442428,1191104,0.23690078068418055
1993,402245433,1643864208,323244,965557,0.24469504904507294
1994,548981850,1184380699,402874,696886,0.46351806514874655
1995,332069996,1426767638,292367,827971,0.23274287077711248
1996,500027639,1475708883,344949,852832,0.3388389436156833
1997,537171644,1829767624,381138,1218785,0.2935736958913423
1998,611885737,1038874122,377504,674473,0.588989295278644
1999,576617341,817052528,434438,523719,0.705728605248254
2000,288555497,516165233,215822,341295,0.5590370651717257
2001,309125435,1022169290,271739,684310,0.3024209766662037
2002,316490121,1565937224,259191,1086326,0.20210907317955168
2003,426202527,523675285,320070,357783,0.8138679429944837
2004,518111540,560617655,387781,408822,0.9241798494555081
2005,439030829,581064205,329873,445189,0.7555633701442683
2006,468320421,530704687,311115,416211,0.8824501318187906
2007,403373357,572622521,262562,420384,0.7044315272399144
2008,480697744,712456457,277206,487508,0.6747047335694228
2009,413847218,875229714,219331,627089,0.4728441132427092
2010,374818984,567588151,215528,376784,0.6603714037011319
2011,271943237,693008626,162051,490210,0.3924095989535345
2012,438154556,1091095064,266388,878782,0.4015732180051362
2013,287946624,605031234,151140,500776,0.4759202629859602
2014,315047841,859672058,169972,716311,0.3664744457705755
2015,412950488,776528426,206652,614793,0.5317905619079036
2016,469623209,747266569,237499,626457,0.6284547288505824
2017,351860886,707599204,191546,533922,0.4972601495464656
2018,193684122,432734469,105038,305499,0.4475819142569852
2019,651458211,1878453937,319218,1626077,0.3468055288278277
