year,PD,PI,Imp,cEat,CF
1990,29442860,3813481,16611,1229,7.720730744430089
1991,85557820,5345596,41943,1344,16.005291084474024
1992,94122905,11612334,52983,2718,8.105425231482318
1993,220058634,26147901,116344,6053,8.415919656419076
1994,116884007,25286774,48704,5111,4.622337629940458
1995,108608869,20483402,51029,5060,5.302286651406832
1996,103134843,8023293,47588,2543,12.854428100781064
1997,126084212,11487862,49090,2463,10.975428848292223
1998,176900816,10027495,58914,2294,17.64157608655003
1999,222951251,7299584,81443,1702,30.543007793320825
2000,203898990,6405807,60389,1789,31.83033613095118
2001,249074287,10654274,88348,3229,23.37787511378063
2002,211567611,41093079,71846,9753,5.148497414856648
2003,353331258,30704731,107582,6833,11.507388161127352
2004,371955749,17624023,100585,3694,21.105042191558645
2005,320146437,20717348,85738,4269,15.453060739241335
2006,545646006,10253681,127952,2321,53.214646135373236
2007,289394424,8618507,68288,1603,33.578254795175084
2008,224343264,11788664,52145,2260,19.03042312513106
2009,238830793,15916696,53241,2926,15.005048346717183
2010,192804169,8574223,50497,1871,22.486488746560475
2011,151092666,11522597,34195,2462,13.112726757691863
2012,235697922,13916463,54942,3568,16.936625491692826
2013,200752465,4377823,39598,1077,45.85668835857457
2014,120942648,6075440,26410,1628,19.90681300449021
2015,117170165,6760874,26223,2023,17.330623969622863
2016,104970092,6855995,23283,2044,15.310701364280458
2017,133946111,8608189,30024,2253,15.560312511725753
2018,149092973,3002466,33177,689,49.65683974439677
2019,207211897,14872167,41105,3346,13.9328651298765
