year,PD,PI,Imp,cEat,CF
1990,85166711,465167691,55466,211734,0.183088190877814
1991,74033420,234484416,47133,117284,0.3157285301211659
1992,129538198,570421892,84286,356373,0.22709191182304764
1993,135174521,475184208,85731,326244,0.2844676206074592
1994,168664275,307757993,106434,216682,0.5480418992724585
1995,129174502,298014344,83273,207459,0.4334506194104536
1996,140721739,259336224,87369,204700,0.5426227652639841
1997,205828157,328125987,134113,250186,0.6272839249394776
1998,340533382,331507318,200740,246800,1.027227344646431
1999,209239983,366719876,134081,224654,0.5705716998006402
2000,85066183,223291627,57686,156381,0.3809644998466512
2001,59906679,341868266,43803,229925,0.1752332256542349
2002,62736443,311411567,41714,224678,0.20145829393678238
2003,101063354,109395831,63255,95570,0.9238318597351302
2004,136214334,269023286,86382,209772,0.5063291584357497
2005,123408957,237297085,82714,183668,0.520060990214018
2006,155341289,259434307,96494,185228,0.5987692637735841
2007,155981786,336756157,96538,234423,0.463189114015219
2008,231581350,267856281,136089,183346,0.8645731551839174
2009,211672940,256858307,118008,185629,0.8240844630343219
2010,217334461,179305014,114070,132061,1.212093606038256
2011,167551918,377682272,91000,280462,0.44363193727027783
2012,245708949,1013998873,128097,756515,0.24231678707201088
2013,185364246,586928881,101733,463540,0.3158206249523441
2014,131583487,605558975,70811,486408,0.21729260473763104
2015,173500639,420442303,91048,352996,0.41266218399531507
2016,195821103,365526509,104136,321422,0.5357233967400159
2017,126491878,251320724,70374,217369,0.5033085850890673
2018,90999483,160939257,47214,130508,0.5654275078453979
2019,226722673,1097682042,117344,998699,0.20654676338414582
