year,PD,PI,Imp,cEat,CF
1990,1740484941,1062079559,277336,412661,1.6387519430641824
1991,4648061141,979412042,697575,363887,4.745766788315637
1992,6973534370,1438068268,986541,563692,4.849237359015281
1993,2120227203,1563991022,353204,654803,1.3556517736839029
1994,2467061235,1075516447,393523,469841,2.293838687340873
1995,3587544586,537688128,535806,197314,6.672166259917868
1996,2579046000,722001675,417790,307361,3.572077585554078
1997,2262996357,559419579,374641,227989,4.045257695565925
1998,1493261736,493854436,246791,213348,3.023688008342604
1999,1802129250,841208084,301343,377413,2.1423109029465772
2000,1316016054,449815049,236400,247440,2.9256825820427363
2001,1156437233,413025432,225938,232389,2.799917737269021
2002,1318718301,700253360,268363,355016,1.8832016757477608
2003,1434087433,622139883,285707,258064,2.3050884088715464
2004,1379604541,662677008,277012,270694,2.0818657118702992
2005,1364420767,511957818,275242,211859,2.665103879710652
2006,2234485651,445891055,425129,195133,5.011281625732546
2007,1784405609,338734039,352279,153769,5.2678662418098465
2008,2099198934,577988710,396955,298655,3.631903007240401
2009,2800196947,384452471,492593,186592,7.2835972148037
2010,2394807308,246198039,429579,112175,9.727158338576368
2011,2556233240,415505048,443591,185034,6.152111153171838
2012,4555460472,590685173,756539,294961,7.7121632304794625
2013,2047450803,381052885,326603,204094,5.373140799078322
2014,3344671429,642420263,525369,333856,5.206360417993229
2015,2255258632,390179078,355233,209714,5.780060385503295
2016,2063199409,773821082,342611,405859,2.6662486419567464
2017,1378338699,994970457,227863,500149,1.3853061558791588
2018,1003796806,787616944,170201,383618,1.2744733510964183
2019,2205945942,1288176723,402770,734005,1.7124559872985687
