year,PD,PI,Imp,cEat,CF
1990,492047817,2264850771,122226,1020039,0.21725396803196267
1991,1034357852,2081654751,227071,864913,0.49689212464416005
1992,797868341,2723059442,192637,1152234,0.2930043790795809
1993,741793020,1638623513,182235,719800,0.45269277177764994
1994,765915144,1853331285,188164,877796,0.4132640236524146
1995,687434134,997557513,164828,506234,0.6891172940321487
1996,592101171,670875225,132782,324622,0.8825801712978744
1997,530591668,770904591,133509,326357,0.6882715114093801
1998,406758751,1529947096,110242,643454,0.2658645858170249
1999,455236167,661673342,104710,292138,0.6880074171100579
2000,368327378,586330248,97703,380550,0.6281909883659967
2001,776970817,698663437,208046,366538,1.1120816917745762
2002,405245217,1573727782,113917,967418,0.2575065533157119
2003,516617235,471366357,150905,287458,1.0959993799472625
2004,588996847,775916934,157785,427414,0.7590978121377101
2005,1108532597,523488792,269234,288207,2.1175861144320356
2006,573394415,835477235,159493,522210,0.6863076466709473
2007,592812941,447137596,160367,288452,1.3257953397414608
2008,574821322,443954121,159882,269906,1.2947764077630897
2009,578863208,495176302,159942,295257,1.1690042630513444
2010,406380273,751986283,119612,438389,0.5404091566388319
2011,544349590,781279945,155590,479866,0.6967407694050051
2012,788544818,1072297680,216724,786485,0.7353786478396559
2013,303473616,623742232,84497,443248,0.486536906482869
2014,476742810,713654676,122176,498030,0.6680301076034707
2015,491058179,440859017,126424,315970,1.1138667012905852
2016,334420152,587022274,90066,419092,0.5696890336396332
2017,354113229,785756919,86748,564897,0.45066511084708627
2018,201931426,1441425214,56297,918434,0.14009150390788155
2019,572513742,2074359780,149635,1512251,0.27599539266038026
