year,PD,PI,Imp,cEat,CF
1990,2626273484,1005752974,393467,260373,2.611251024747156
1991,3548733810,977072312,547667,249330,3.632007341131165
1992,4407565758,1587520721,713862,434364,2.77638313610396
1993,2627973733,783103269,469323,200123,3.3558456937050534
1994,3057449799,1009360697,467303,296982,3.0290953551959037
1995,2788684642,960857245,445475,299814,2.9022881978685606
1996,4466342546,1149839115,666937,379020,3.884319543260624
1997,2760991430,380208708,452509,120804,7.261778522968496
1998,3426400626,485940224,542055,162886,7.051074302505158
1999,3485668560,602153376,569253,212700,5.78867228670989
2000,1825661589,222085444,350189,86353,8.220536907407583
2001,2069268749,360595983,415273,128410,5.738468664527525
2002,2973943872,886086669,605397,292663,3.3562674804218275
2003,2678107829,770889974,569310,240342,3.4740467762264604
2004,2915693999,755220330,562761,234870,3.8607196909013295
2005,3007245311,263678430,572871,70915,11.404972757915768
2006,4579966981,440705083,873928,147774,10.392362506515497
2007,3257595535,249961261,606391,81248,13.032401588820598
2008,3346688179,420154073,575800,142887,7.965383163142631
2009,2801947941,498690498,478193,168033,5.618611046806029
2010,3755314455,326137403,656323,113453,11.514516337152534
2011,3440315536,381617305,583849,130874,9.015093107478446
2012,5858145078,371719999,984289,125931,15.759563902290875
2013,2468998024,208311931,409104,76946,11.852408127309808
2014,3617080787,377090863,589042,129544,9.592066904575198
2015,2855787804,360054613,463170,124046,7.9315406632493275
2016,2554734320,376859473,407127,151084,6.779010488081854
2017,2591057814,499610434,425187,215787,5.186156328352422
2018,2121875533,406471998,357292,168273,5.220225608259489
2019,4688713360,1001134504,936453,401570,4.683400023939241
