year,PD,PI,Imp,cEat,CF
1990,76420906,14147105,29838,6440,5.401875931506835
1991,144052176,11119872,50637,5607,12.954481490434421
1992,194646545,17475171,75349,8940,11.138462965541224
1993,162692483,27179777,67411,17899,5.985791678864768
1994,149444376,18883114,65257,11331,7.9141806801568855
1995,98085936,19030900,37240,8561,5.154035594743286
1996,193219350,30927160,76161,13619,6.247562013453547
1997,129622726,21627953,40621,8024,5.993296083082851
1998,137702782,58303185,57595,25925,2.3618397862826876
1999,169753020,54994615,60137,28932,3.0867207634783878
2000,173198898,33708112,68320,21175,5.138196348700871
2001,237381787,23674795,93029,19753,10.026772649984931
2002,249774590,32715274,92137,30914,7.634800491048921
2003,416346143,20141105,131151,12608,20.671464797984022
2004,263183991,17369695,83567,11998,15.151906294267112
2005,210880665,18070925,68148,12433,11.669610991136315
2006,364865010,15144221,107104,10692,24.09268921788714
2007,248638186,5034237,65076,4234,49.38944789448729
2008,252998654,8540015,62975,6835,29.625083094116345
2009,367432385,9657558,89505,7940,38.04609664265024
2010,278143926,5775706,80327,5915,48.15756307540585
2011,231703360,6039645,61426,4892,38.36373826607358
2012,427223814,22457381,112987,23200,19.023759449064876
2013,196081347,8524632,49523,9056,23.00173743570397
2014,217736641,11073834,52621,11126,19.662263403984564
2015,171669733,5058115,42824,5652,33.93946816155821
2016,156830740,8554837,36933,9397,18.332405398255982
2017,143849132,8793112,32415,8090,16.359297140761996
2018,105000565,11828669,22910,9556,8.876786137138506
2019,84711895,34368292,22876,31797,2.4648270271912263
