year,PD,PI,Imp,cEat,CF
1990,199388435,112714689,96288,59782,1.76896584437189
1991,146589166,140218787,73124,77476,1.045431708092012
1992,179915069,586905475,93853,267800,0.30654862948756784
1993,127487511,399079017,59055,216933,0.3194543074661327
1994,132084745,109778473,59390,74900,1.2031934986014972
1995,117869237,98250009,53378,64871,1.1996867806902693
1996,98940605,46209133,44654,37271,2.141148266079781
1997,149766076,88230801,68794,62750,1.697435298133585
1998,176698616,57805603,73391,47493,3.0567731643591713
1999,204080018,52462522,92812,37768,3.8900153904152757
2000,79274518,32607803,46932,29608,2.4311517706360037
2001,63710332,59850010,37753,47326,1.0644999390977545
2002,53702114,85505371,34216,57880,0.6280554469496425
2003,65895565,46035947,41542,29526,1.4313937106583254
2004,61433857,59917411,39441,39305,1.0253089373304196
2005,99117530,37332608,63474,32878,2.6549854218596245
2006,69266453,27742617,42318,26109,2.4967526675655725
2007,48306569,59079041,29695,48800,0.8176600056862805
2008,53810021,39593268,33414,30282,1.3590699560339399
2009,48058385,42449358,30257,41919,1.1321345543082182
2010,32687443,31244256,22450,25423,1.0461904741786778
2011,26275386,72832551,15283,54007,0.36076432363326116
2012,41244478,171728630,23364,126835,0.24017240456643718
2013,23223963,37037904,13363,43057,0.6270323234273733
2014,18547276,50789591,10848,55450,0.36517868395514347
2015,27194197,46178674,14590,44966,0.5888908157042361
2016,25933333,33950894,14341,43756,0.7638483098559937
2017,19894785,27640288,11668,29209,0.7197748807827183
2018,13184010,27906945,7594,19616,0.4724275623863522
2019,31667736,94463135,17099,116072,0.3352390961828654
