year,PD,PI,Imp,cEat,CF
1990,252210655,3347448336,65088,1015752,0.07534415162964893
1991,182861688,2457864371,53569,774889,0.07439860805891474
1992,246671155,4130661323,79018,1150955,0.059717109613055534
1993,175796145,2815874942,47485,780803,0.06243038083045664
1994,256787157,2544327904,67040,696314,0.10092533929934842
1995,208592326,1951929530,54277,575286,0.10686468071416493
1996,292388933,3184841290,81014,1090637,0.09180643755092738
1997,317073351,2680795212,79665,965943,0.11827585694747951
1998,440086828,2238223688,105448,798095,0.19662325546793158
1999,474727396,1753855304,126419,586571,0.270676489056591
2000,235900504,1402546339,67751,479510,0.16819444565959543
2001,254803752,2572447776,68448,867164,0.09905108837474802
2002,223793203,3689306564,70725,1198248,0.06065996390317863
2003,270135235,1640735150,88779,550516,0.164642803562781
2004,250943134,2108133654,85393,750394,0.11903568520138999
2005,306632283,2300826708,96407,842210,0.13327048140298273
2006,553555311,2851502844,158824,1033485,0.1941275675613529
2007,568265832,2608392882,159550,894119,0.21786052090599134
2008,623542742,3619369010,167421,1220361,0.17227940568568884
2009,516219192,2299609324,132446,887429,0.22448125714765974
2010,586703063,1249303213,149487,500808,0.46962423284826693
2011,501240240,2030613777,122142,888012,0.24684174099346712
2012,1100203680,3040343817,247158,1377355,0.3618681788053841
2013,479318126,1499622946,105412,697891,0.31962576144790467
2014,616476078,2076637450,142587,893905,0.29686264109317684
2015,852341262,2668406191,185788,1201774,0.31941960893164484
2016,679017117,1629829344,146535,692946,0.4166185370877701
2017,545716624,2119225416,125963,854808,0.25750758738540913
2018,349734621,776869720,75920,359008,0.450184389990126
2019,865083571,3455545063,183103,1576968,0.2503464881019264
