year,PD,PI,Imp,cEat,CF
1990,348199105,2278021828,113497,913845,0.1528515226325566
1991,775396841,2520469904,240987,913413,0.30763979358350635
1992,647982641,3523646207,183280,1204200,0.18389548863127392
1993,332456701,2190066099,101436,823897,0.1518021310643556
1994,528400429,1245925914,142761,469841,0.42410260759693935
1995,341097523,1031841967,108649,396701,0.33057147694013106
1996,294432610,881085786,96689,336108,0.3341701962265
1997,446062528,997566124,157875,400639,0.447150837692239
1998,560244550,1690063020,171532,676692,0.3314932895224227
1999,365678209,1230013414,127375,492067,0.2972961146909899
2000,435170533,1315299275,151875,542921,0.33085286464557656
2001,395040888,702603689,127617,305566,0.562252795117334
2002,271853675,1439556597,89225,516971,0.1888454233522574
2003,426894858,1551960057,137833,586098,0.27506819912956043
2004,560733558,1386305899,178348,510025,0.4044803952752999
2005,460033927,769785042,162140,302913,0.5976134919493539
2006,519749092,643955546,206651,287543,0.8071195212596244
2007,503809272,780598646,203424,304975,0.64541397116387
2008,320407663,1189497124,107616,460559,0.2693639661124561
2009,469331839,1570645337,143486,679997,0.29881465149633585
2010,457903072,702589292,118987,329339,0.6517364799234657
2011,475138124,863375925,150502,410955,0.5503258896175498
2012,1066303428,1259348735,275980,680515,0.8467102069229457
2013,263917067,677036923,80484,352372,0.3898119261067243
2014,287873298,428031292,79542,253228,0.6725519918296067
2015,384047029,670256551,109068,384960,0.5729851180522069
2016,457240960,522510606,125476,294232,0.8750845528291534
2017,344577660,400885361,98332,275550,0.8595416383887363
2018,345685232,266273741,91681,185006,1.2982325283062741
2019,601362375,1032585974,199382,605593,0.5823847990792097
