year,PD,PI,Imp,cEat,CF
1990,89061079,3048823148,40373,1748759,0.02921162516704954
1991,62199003,2200771509,33261,1348937,0.028262362878489992
1992,113963531,2212952920,52869,1176619,0.05149839834821249
1993,87220036,1597661612,45935,820994,0.05459230874979551
1994,189967107,1263142294,87338,711878,0.150392483809904
1995,125565962,1465266765,58272,889525,0.08569494988852763
1996,226206503,1189666697,91022,769075,0.1901427547483915
1997,197580327,1333337422,85589,888464,0.1481847908413389
1998,258536636,1019735154,103532,672765,0.25353312081658413
1999,145391351,1108171208,72123,727362,0.1311993579605797
2000,106689140,970669249,47448,654474,0.10991296995337287
2001,55695580,2382464130,28316,1617140,0.02337730054303063
2002,86263178,3829041889,40119,2491255,0.022528658735182616
2003,123044924,1150498270,55725,998334,0.10694924730308374
2004,171235162,1480405804,76746,1143717,0.11566771863318093
2005,133646000,945948175,63484,704751,0.1412825813634029
2006,232487273,872349013,94777,669352,0.26650717721394385
2007,145771448,682387623,65333,507368,0.21361971273620242
2008,259154443,894591313,104136,613648,0.2896903191815367
2009,254370190,1187535933,94713,794185,0.2141999942329324
2010,233033913,490198224,96298,440601,0.475387101769671
2011,211690747,967745851,85950,986253,0.21874622017883494
2012,376132442,1520829198,143519,1760815,0.24732063435831012
2013,259495613,807755958,92888,929135,0.32125496621839833
2014,247790387,897708738,87498,963743,0.2760253704916037
2015,365194325,1221606487,125905,1278996,0.2989459608198692
2016,312020861,1041044710,104029,1028593,0.29971898229039556
2017,213989964,1062133810,69936,1023108,0.20147175618107854
2018,152214140,496603631,49294,437493,0.3065103243274514
2019,422261122,2346903380,137609,2395973,0.17992266984591415
