year,PD,PI,Imp,cEat,CF
1990,693568571,2558967907,108698,1016877,0.271034493673312
1991,666690719,2574148039,103366,1176164,0.2589947077243447
1992,483589117,4414389123,80332,2049529,0.10954836638219942
1993,295493508,2331892505,57519,978023,0.1267183231501488
1994,305819604,3005399896,54304,1278034,0.10175670945055493
1995,177947808,1646316929,35482,703031,0.10808842748649157
1996,402521778,2256482035,66130,1088776,0.178384658843517
1997,445260383,1718243379,80520,832009,0.25913697002524577
1998,522231517,1856968647,88466,951745,0.2812279667961459
1999,697088794,1125742811,110468,599749,0.6192256234625868
2000,653503769,1189588199,107160,1015797,0.5493529353681829
2001,924873713,680710633,163856,475625,1.3586885060454168
2002,625406977,901757932,103922,632167,0.6935419748545112
2003,602558038,591322350,108891,472706,1.0190009526952601
2004,521551948,717504691,85543,541111,0.7268969172495626
2005,821813605,536531851,131394,411632,1.5317144797056979
2006,721477183,951435772,126248,791576,0.7583036125322393
2007,453081621,545003372,84399,496272,0.8313372802398
2008,657523154,713911167,119423,538073,0.9210153649270484
2009,1062726203,560521914,190175,413581,1.8959583496319825
2010,1018512162,441981888,163706,296329,2.3044205874789148
2011,1232820474,783272169,196071,519448,1.5739362673563855
2012,2022517981,944486946,306652,762536,2.1413932607174435
2013,602675809,463854123,93719,434709,1.2992787583780947
2014,909874803,602989362,136435,471263,1.5089400582161514
2015,874820516,730390580,139126,553965,1.1977434265376206
2016,699302154,588629537,109611,437437,1.1880174371881715
2017,682157720,703603624,101612,514805,0.9695199068502808
2018,340088772,659284328,53451,460280,0.5158453758967557
2019,1054030601,1608891644,157880,1237211,0.6551283953339992
