year,PD,PI,Imp,cEat,CF
1990,215055931,293371565,60443,86658,0.7330496771219119
1991,372332424,184895140,102324,59272,2.013749112064276
1992,589451808,699363133,170357,241683,0.842840836449982
1993,643790683,658589226,198801,236082,0.9775299345695643
1994,710374701,496144199,207710,171713,1.4317908028185975
1995,529846854,372173092,155729,128506,1.4236570708341267
1996,487286870,234569901,142832,112688,2.0773631566651853
1997,548297150,323502598,158954,143279,1.6948771150208815
1998,866321986,688049209,228447,293201,1.2590988764584132
1999,1065215013,697857220,284145,271226,1.5264082429354244
2000,602191559,503914829,179515,191527,1.1950264694433115
2001,787548484,398918927,237340,161100,1.9742068643436415
2002,779581160,446227258,233899,168576,1.7470496165879674
2003,1717086595,250193979,479903,104441,6.863021252002231
2004,1244782401,478965909,345148,201190,2.5988956157629164
2005,1068067956,384547963,275725,156131,2.777463564408479
2006,1064711559,316550952,270468,148390,3.363476092152141
2007,1115308317,324347021,277828,139331,3.4386266707841906
2008,806658668,351026968,199974,148717,2.2979962838638652
2009,1036669363,484803041,244642,203687,2.138330982540186
2010,1236864890,395717790,303886,184717,3.1256236673109896
2011,1031952046,644306232,246958,303699,1.601648400631953
2012,1716745538,1010648103,403206,600307,1.6986580520994656
2013,776151123,442642240,173103,279287,1.753450197161482
2014,751713122,547022140,172359,312051,1.374191402929322
2015,791029116,522490578,182582,295539,1.5139586230012363
2016,524508648,314833363,123260,193031,1.6659881373499796
2017,669525142,368708247,153806,199537,1.815867009885461
2018,612481225,198165139,139946,110730,3.0907617156618046
2019,1193465460,1039653344,266004,634323,1.1479455790602449
