year,PD,PI,Imp,cEat,CF
1990,655504420,3266516848,127648,857250,0.2006738218421704
1991,513496038,1381653941,101416,379112,0.3716531489993412
1992,799908591,6322098669,162200,1644018,0.12652579987754697
1993,410240619,3729432174,85593,1052610,0.11000082582544911
1994,505499244,1543432471,99793,474610,0.327516268769753
1995,301810561,1225917748,58518,362408,0.24619152589346474
1996,272977989,816996313,57850,240293,0.3341238934085618
1997,381395480,1069279512,76583,300290,0.3566845485392598
1998,526586539,675797974,106786,203152,0.7792070400613542
1999,556170695,720539931,114165,215773,0.7718804622363115
2000,231676218,572132694,49135,177333,0.40493441544174363
2001,270915471,1529739412,61334,466800,0.1770990986273942
2002,301585866,1756603412,74081,634121,0.17168694079708413
2003,509548654,687001990,134509,240230,0.7416989490816468
2004,379027840,1111822036,93994,350427,0.3409069326990745
2005,422525284,1133086844,99040,355100,0.3728975287617054
2006,665303393,976817232,144803,324112,0.6810930143378142
2007,755577389,1579605184,167072,510376,0.4783330649033879
2008,960630386,1732643676,200061,539396,0.5544304344316898
2009,648689341,1663279455,136552,613335,0.39000622478079006
2010,653448338,1275007369,152241,450185,0.512505538311128
2011,563003372,1708862497,126831,640410,0.32946089752006535
2012,1317802478,3205722429,277541,1204767,0.4110781601297521
2013,566886462,1470047248,119015,623526,0.38562465442607324
2014,670591867,2153745896,139489,933586,0.3113607172719135
2015,1085022064,1799713637,219232,780584,0.6028859490161211
2016,859673291,1404445740,178930,604183,0.6121085824219881
2017,655294623,1423083839,143324,597947,0.4604750648145053
2018,566014392,1115888583,125647,477299,0.507231994863057
2019,1074339066,2947686191,230007,1301462,0.36446860228209416
