year,PD,PI,Imp,cEat,CF
1990,678261922,1151738099,181092,416384,0.5889029134218126
1991,831422552,1109537881,223895,410476,0.7493412944591479
1992,1524170820,1335243139,395357,525358,1.1414930925175868
1993,1465037829,1003559043,370537,421478,1.4598421878801207
1994,798160686,675310969,216866,275162,1.1819157730873464
1995,645698468,635268989,172623,261163,1.0164174218804816
1996,770868638,1527607340,201242,610353,0.5046248586367751
1997,705787620,388986778,182893,165852,1.8144257335142635
1998,434056223,572943727,120681,248006,0.7575896245042578
1999,558655605,645570940,151779,289781,0.8653667170954132
2000,398476066,235566638,135556,140778,1.691564091516219
2001,351629379,252987356,117103,150975,1.389908905170739
2002,420772012,562165508,136773,313345,0.7484842204157428
2003,483928909,465819270,154970,292800,1.0388769640208315
2004,587833772,330055020,179852,169720,1.7810175164128697
2005,528334910,362631940,163116,200634,1.456945325886076
2006,829685625,536798356,255438,292125,1.5456187891156656
2007,625088607,454961658,188603,236659,1.3739368933810243
2008,744889109,609714275,213600,329379,1.221701934073956
2009,739252982,700837184,213714,368537,1.0548141549521437
2010,788907350,277102110,200491,135328,2.8469914934967475
2011,928544649,353429747,230535,177360,2.6272396618612865
2012,1481054528,651950139,359766,353316,2.2717297526337363
2013,458497696,436632401,110502,232237,1.050077124258124
2014,655027451,580362337,152947,289537,1.1286525834635612
2015,506371693,445775678,117831,225734,1.1359338743465497
2016,458293358,282589154,110462,152370,1.6217655614624191
2017,384499735,459340248,94449,227270,0.8370695506743402
2018,282519354,319192403,67890,150742,0.8851067611405525
2019,629955563,1088258125,151648,546660,0.5788659404679382
