year,PD,PI,Imp,cEat,CF
1990,1127957442,1659923163,157135,399018,0.6795238882994008
1991,1286746678,766775350,187747,178603,1.678127339383041
1992,1951446838,1804928266,267557,378949,1.081176950220137
1993,1453864452,3128954645,211712,590785,0.4646486181329739
1994,2371177945,1260364012,330394,265027,1.881343740716075
1995,2303163597,1675491580,304652,395920,1.3746196187986812
1996,2367933531,976537840,320455,328441,2.424825167041146
1997,2200202695,762353934,284912,239210,2.8860645913581657
1998,2032157228,752297087,279713,229385,2.7012695690525783
1999,2236966021,423750209,306233,123892,5.278973257096376
2000,633974365,270673502,104261,74753,2.342210671955617
2001,896938448,258433587,152443,78113,3.4706729044472073
2002,730230088,747477460,124479,180473,0.9769258968691845
2003,938323746,454635163,191370,136032,2.063904911816071
2004,733474005,763450497,140955,207866,0.960735513150108
2005,842528788,672368192,171467,188215,1.2530765107936574
2006,1235668595,534551564,243204,144326,2.3115985027779287
2007,1438339305,384418374,289181,121670,3.741598743144364
2008,2194763453,652302894,404951,165496,3.364638534012084
2009,1779337677,687349661,304987,171172,2.5886936125222006
2010,1479620174,475365787,279154,123368,3.1125929010116162
2011,2165681940,875255268,372767,222618,2.4743432221192867
2012,3901998088,993716829,633926,377601,3.9266700272417343
2013,1501933560,342459015,238297,153173,4.38573228974568
2014,1691476518,521190348,274501,214919,3.2454102891406578
2015,1713105949,546397779,279522,243078,3.135272533748714
2016,1102108479,420220152,179702,176507,2.6226930663715526
2017,1328446715,700555949,217532,224814,1.8962749754623809
2018,797653348,703374837,135008,231680,1.1340373667646573
2019,2272659642,1390858678,348013,490260,1.633997528252112
