year,PD,PI,Imp,cEat,CF
1990,1246807033,334115507,221952,94063,3.731664669488088
1991,1450801103,256540442,274152,61403,5.655252995159336
1992,2503134561,655084850,486397,167099,3.821084491573878
1993,1838280187,682002491,388830,163683,2.695415649149
1994,1458026041,507879097,292507,128591,2.870813249870766
1995,1238614442,660157404,271038,166031,1.8762410820435182
1996,1678227025,291995853,331638,80987,5.747434450721463
1997,1179862528,183755692,233775,53445,6.420821663581447
1998,1763249728,201860870,350137,74287,8.734975371898477
1999,2013972370,176519316,402728,58282,11.409359698629242
2000,879420406,126910455,209388,38326,6.929455938047027
2001,1201363237,128165745,315050,42737,9.373512688589296
2002,1545620553,356657636,380236,113110,4.333625294931299
2003,1900959801,203897759,580131,81024,9.323102962598034
2004,1255583168,311623085,349102,101953,4.029172511401073
2005,1453184056,197783540,372598,70604,7.3473457700271725
2006,2028868384,215445361,496305,76118,9.41709013637105
2007,2243370971,193220969,558265,73311,11.610390852558037
2008,2031659345,278469262,461930,102942,7.295811862351975
2009,1857494988,228821938,403844,90062,8.117643807387035
2010,2308753804,131590198,530934,54800,17.54502872622777
2011,2581974878,273187376,540166,109618,9.451296453757072
2012,5208337352,367559231,952742,153866,14.170062707525906
2013,3014630323,128413495,489620,55264,23.47596195399868
2014,2112273788,183192334,390948,77830,11.530361243172981
2015,1421761432,209381782,278922,89616,6.79028241339545
2016,1123425244,150117659,217018,67821,7.483631515996396
2017,1428253209,263566222,278184,110014,5.41895390904833
2018,1141117690,233120143,231255,104080,4.894976793146528
2019,2373240278,480403465,429485,200611,4.940098169358541
