year,PD,PI,Imp,cEat,CF
1990,610169942,9864473715,229658,3888129,0.061855296048097384
1991,494002521,8247376930,197119,3552411,0.05989813794044696
1992,545609154,9512007906,183745,3898934,0.0573600400033141
1993,751461190,7099870379,220355,3080995,0.10584153651912749
1994,736717141,5688199148,244998,2418479,0.12951676300908585
1995,475850960,6755457896,194911,3059141,0.07043948275982267
1996,599948570,5414300795,236971,2392428,0.11080813436779144
1997,798127057,5735440304,303635,2550246,0.13915706810571662
1998,659376176,3759210208,261745,1790877,0.17540284781010043
1999,379522475,2709952099,151443,1320721,0.14004766915992636
2000,602555229,1816603487,197704,936028,0.33169331299428473
2001,543512816,2126210845,181281,1026118,0.2556250793650712
2002,367507343,1341816431,126283,666853,0.27388794361842184
2003,680417693,1494556303,232649,701852,0.45526400821046886
2004,552047295,1488519322,193992,682214,0.37087009005584143
2005,663849464,2365287058,223591,1219242,0.2806633815353164
2006,663969348,1912117945,215872,1082895,0.34724288307434925
2007,680752305,1369487101,213173,832121,0.4970855910237595
2008,397477992,1670202196,145344,973507,0.23798195988002402
2009,528256693,2635097269,170337,1633484,0.20046952316127195
2010,639408191,1530982943,159133,718381,0.4176455354538852
2011,935654027,1946662786,234151,1183334,0.48064515011486947
2012,1581823333,4397777355,372316,2709818,0.3596869976151851
2013,584385527,1681924956,147304,1041445,0.34745041680682454
2014,527537936,1537317187,126530,927615,0.3431549067824219
2015,748633219,1533031382,187699,949015,0.48833522117683564
2016,838677382,1052396096,199159,587645,0.7969217913176295
2017,454906225,780115719,123292,445129,0.5831265976580072
2018,495835262,943503356,160464,570166,0.5255257004088494
2019,1767944301,3811300761,495875,2197220,0.4638690074241559
