year,PD,PI,Imp,cEat,CF
1990,1933751792,2332682138,251377,511528,0.8289821234100777
1991,3593122578,2207567400,473110,477132,1.6276389015347843
1992,3217216988,3335387704,438971,755264,0.9645706207232573
1993,1931413073,1979051043,284435,413141,0.975928882598305
1994,3376855958,1478900098,494214,366885,2.2833563690790966
1995,4964563276,680329959,680015,168068,7.2972874563649786
1996,3072156556,605744024,410471,185551,5.071707576598395
1997,3254282366,776084582,429752,232491,4.193205794159173
1998,2360294869,1793279805,320838,490808,1.316188841484221
1999,2476853135,820859689,322235,267644,3.017389169173832
2000,1325350523,221843821,201198,94157,5.9742503398370514
2001,2025529549,310521257,313261,149755,6.522998034237637
2002,1980019870,494084993,314593,193855,4.007447904818271
2003,2193641287,438684256,362205,184050,5.000501515604882
2004,1867014518,722214831,333112,348561,2.5851234810767822
2005,2242074534,571340926,403121,244635,3.9242323312928575
2006,2532003960,526075652,437711,234702,4.813003510757422
2007,1761742799,249663811,306647,101368,7.0564604134797895
2008,2062220227,350246033,339761,151186,5.887918870447278
2009,2688716691,561206842,437887,222356,4.790954938143822
2010,2976925135,353161040,502605,133260,8.429370167785212
2011,3311949453,503597115,515421,195854,6.576585437746203
2012,5141863859,448355753,785071,213118,11.4682678310587
2013,1898025777,291252572,280604,160849,6.516769153200817
2014,3103136425,367055514,460134,192435,8.454133793505688
2015,2938987905,427981073,430727,218464,6.867097847105028
2016,2612582209,270476144,381053,132040,9.659196446545023
2017,2287595140,431364068,340412,211328,5.303165724039862
2018,1257644169,587594518,191068,307926,2.14032658657309
2019,3340665535,993775904,484030,501537,3.361588383813339
