year,PD,PI,Imp,cEat,CF
1990,1171825,3137826,4403,5499,0.3734512366205137
1991,550418,971221,2114,2458,0.5667278611150295
1992,1085647,1678287,3511,5586,0.6468780369507718
1993,970269,1610096,2072,5597,0.6026156204350548
1994,1147738,688602,2718,2418,1.666765417469017
1995,635575,1008461,1863,3336,0.6302425180547389
1996,1323434,392693,3346,1543,3.3701492005205083
1997,1132282,1566826,2783,4174,0.7226596954607595
1998,1089969,1615892,2877,3594,0.6745308473586106
1999,1176422,928899,2831,2096,1.2664692286244252
2000,1155873,656479,1834,1431,1.7607158797158782
2001,596337,699403,1411,1837,0.8526371777072732
2002,339992,937742,1111,3224,0.36256454333921273
2003,873391,562313,1885,1447,1.5532114676345736
2004,703194,620552,1428,1464,1.1331749796954969
2005,607106,489955,1072,1450,1.2391056321498912
2006,461677,198057,920,826,2.3310309658330683
2007,401342,488886,707,1319,0.8209316691416813
2008,549761,1194083,953,2318,0.46040434375164874
2009,530229,1091620,858,2224,0.4857267180887122
2010,364529,850770,655,2302,0.42846950409628926
2011,415468,710857,606,2415,0.58446072838841
2012,273176,952322,809,3409,0.28685255617322714
2013,152301,579701,483,1839,0.26272336946115327
2014,130106,1091529,355,3771,0.11919610014942342
2015,272860,1008402,786,4405,0.2705865319584848
2016,466079,1619229,913,6615,0.28784007697490593
2017,189825,1433872,596,6129,0.1323862938951315
2018,66983,1710575,268,5288,0.039158177805708606
2019,264922,2522479,839,13404,0.10502446204705768
