ID,row,col
0,5345,5334
1,5345,5335
2,5345,5334
3,5345,5335
4,5346,5335
5,5346,5334
6,5346,5334
7,5346,5334
8,5346,5334
9,5346,5335
10,5346,5335
11,5346,5335
12,5346,5335
13,5346,5335
14,5346,5334
15,5346,5334
16,5346,5334
17,5346,5334
18,5346,5334
19,5346,5335
20,5346,5335
21,5346,5335
22,5346,5336
23,5346,5336
24,5346,5336
25,5346,5337
26,5346,5336
27,5346,5335
28,5346,5335
29,5346,5334
30,5346,5334
31,5346,5334
32,5346,5334
33,5346,5334
34,5346,5335
35,5346,5335
36,5346,5335
37,5346,5336
38,5346,5336
39,5346,5336
40,5346,5337
41,5346,5337
42,5346,5337
43,5346,5336
44,5346,5335
45,5346,5335
46,5346,5334
47,5346,5334
48,5346,5334
49,5346,5334
50,5346,5334
51,5346,5335
52,5346,5335
53,5346,5336
54,5346,5336
55,5346,5336
56,5346,5337
57,5346,5337
58,5346,5337
59,5346,5338
60,5347,5337
61,5347,5337
62,5347,5335
63,5347,5335
64,5347,5335
65,5347,5334
66,5347,5334
67,5347,5334
68,5347,5334
69,5347,5335
70,5347,5335
71,5347,5336
72,5347,5336
73,5347,5336
74,5347,5337
75,5347,5337
76,5346,5338
77,5346,5338
78,5347,5338
79,5347,5338
80,5347,5337
81,5347,5337
82,5347,5336
83,5347,5336
84,5347,5336
85,5347,5335
86,5347,5335
87,5347,5334
88,5347,5334
89,5347,5334
90,5347,5334
91,5347,5335
92,5347,5335
93,5347,5336
94,5347,5336
95,5347,5337
96,5347,5337
97,5347,5337
98,5347,5338
99,5347,5339
100,5347,5339
101,5347,5338
102,5347,5338
103,5347,5337
104,5347,5337
105,5347,5337
106,5347,5336
107,5347,5336
108,5347,5335
109,5347,5335
110,5347,5334
111,5347,5334
112,5347,5334
113,5347,5334
114,5347,5335
115,5347,5335
116,5347,5336
117,5347,5336
118,5347,5337
119,5347,5337
120,5347,5338
121,5347,5338
122,5347,5340
123,5347,5339
124,5347,5339
125,5347,5339
126,5347,5338
127,5347,5338
128,5347,5337
129,5347,5337
130,5348,5336
131,5348,5336
132,5348,5335
133,5348,5335
134,5348,5334
135,5348,5334
136,5348,5334
137,5348,5335
138,5348,5335
139,5348,5336
140,5348,5336
141,5347,5337
142,5347,5337
143,5347,5338
144,5347,5338
145,5347,5338
146,5347,5339
147,5347,5340
148,5347,5340
149,5348,5340
150,5348,5339
151,5348,5339
152,5348,5338
153,5348,5338
154,5348,5338
155,5348,5337
156,5348,5337
157,5348,5336
158,5348,5335
159,5348,5335
160,5348,5334
161,5348,5334
162,5348,5334
163,5348,5335
164,5348,5335
165,5348,5336
166,5348,5336
167,5348,5337
168,5348,5337
169,5348,5338
170,5348,5338
171,5348,5339
172,5348,5341
173,5348,5341
174,5348,5340
175,5348,5340
176,5348,5340
177,5348,5339
178,5348,5339
179,5348,5338
180,5348,5338
181,5348,5337
182,5348,5337
183,5348,5336
184,5348,5336
185,5348,5335
186,5348,5334
187,5348,5334
188,5348,5334
189,5348,5335
190,5348,5335
191,5348,5336
192,5348,5336
193,5348,5337
194,5348,5338
195,5348,5338
196,5348,5339
197,5348,5339
198,5348,5341
199,5348,5341
200,5348,5341
201,5348,5340
202,5348,5340
203,5348,5340
204,5348,5339
205,5348,5339
206,5348,5338
207,5348,5337
208,5348,5337
209,5349,5336
210,5349,5336
211,5349,5335
212,5349,5334
213,5349,5334
214,5349,5334
215,5349,5335
216,5349,5335
217,5349,5336
218,5348,5337
219,5348,5337
220,5348,5338
221,5348,5338
222,5348,5339
223,5348,5342
224,5348,5341
225,5349,5341
226,5349,5340
227,5349,5340
228,5349,5339
229,5349,5339
230,5349,5338
231,5349,5338
232,5349,5337
233,5349,5337
234,5349,5336
235,5349,5335
236,5349,5335
237,5349,5334
238,5349,5334
239,5349,5335
240,5349,5336
241,5349,5336
242,5349,5337
243,5349,5337
244,5349,5338
245,5349,5339
246,5349,5339
247,5349,5342
248,5349,5342
249,5349,5342
250,5349,5341
251,5349,5341
252,5349,5340
253,5349,5340
254,5349,5339
255,5349,5339
256,5349,5338
257,5349,5337
258,5349,5337
259,5349,5336
260,5349,5335
261,5349,5335
262,5349,5334
263,5349,5334
264,5349,5335
265,5349,5336
266,5349,5336
267,5349,5337
268,5349,5338
269,5349,5338
270,5349,5339
271,5349,5340
272,5349,5340
