ID,row,col
401,5352,5341
402,5352,5341
403,5352,5342
404,5352,5343
405,5352,5344
406,5352,5344
407,5352,5345
408,5352,5344
409,5352,5343
410,5352,5342
411,5352,5342
412,5352,5341
413,5352,5339
414,5352,5340
415,5352,5341
416,5352,5342
417,5352,5343
418,5352,5344
419,5352,5344
420,5352,5345
421,5352,5345
422,5353,5343
423,5353,5342
424,5353,5340
425,5353,5341
426,5353,5342
427,5353,5343
428,5353,5343
429,5353,5344
430,5353,5345
431,5353,5346
432,5353,5346
433,5354,5341
434,5354,5342
435,5354,5343
436,5354,5344
437,5354,5345
438,5354,5346
439,5353,5347
440,5354,5342
441,5354,5343
442,5354,5344
443,5354,5345
444,5355,5344
445,5355,5345
446,5355,5346
