,row,col,change,rc
0,0,35,1.0693634809745824,a0b35
1,0,36,1.069431832520746,a0b36
2,0,37,1.0703246047476493,a0b37
3,0,38,1.0715732427705404,a0b38
4,0,39,1.07362079027773,a0b39
5,1,34,1.071017001290133,a1b34
6,1,35,1.0720095875193387,a1b35
7,1,36,1.0729207072680131,a1b36
8,1,37,1.073717214532872,a1b37
9,1,38,1.074528146254656,a1b38
10,1,39,1.0756033511170633,a1b39
11,2,34,1.076610007182188,a2b34
12,2,35,1.075595658333384,a2b35
13,2,36,1.0760652578136927,a2b36
14,2,37,1.0767061431369447,a2b37
15,2,38,1.0773604913340402,a2b38
16,2,39,1.0780510703695578,a2b39
17,2,40,1.079070025804562,a2b40
18,2,45,1.082070405598413,a2b45
19,3,34,1.0780841921473836,a3b34
20,3,35,1.0781234429065745,a3b35
21,3,36,1.0786014705882354,a3b36
22,3,37,1.0790929930795847,a3b37
23,3,38,1.0796183994518163,a3b38
24,3,39,1.0800806782565247,a3b39
25,3,40,1.0806437187800817,a3b40
26,3,41,1.0811302543918475,a3b41
27,3,42,1.0816809205887505,a3b42
28,3,43,1.0823386462726037,a3b43
29,3,44,1.082427917481103,a3b44
30,3,45,1.082444352863275,a3b45
31,4,12,1.0814023472765573,a4b12
32,4,13,1.0812803850603145,a4b13
33,4,33,1.0802659822588168,a4b33
34,4,34,1.080162236353752,a4b34
35,4,35,1.0801903979238754,a4b35
36,4,36,1.0805361591695501,a4b36
37,4,37,1.0808846885813148,a4b37
38,4,38,1.0812414363808796,a4b38
39,4,39,1.0815631380581465,a4b39
40,4,40,1.0818713667820068,a4b40
41,4,41,1.0821517301038062,a4b41
42,4,42,1.0823918003643918,a4b42
43,4,43,1.0826608120509675,a4b43
44,4,44,1.0827317296734715,a4b44
45,4,45,1.0827911573744955,a4b45
46,5,9,1.082761722400416,a5b9
47,5,10,1.083137422526181,a5b10
48,5,11,1.08243831676442,a5b11
49,5,12,1.0822311466737142,a5b12
50,5,13,1.0820791132384036,a5b13
51,5,14,1.0822096970074424,a5b14
52,5,32,1.0814806436201014,a5b32
53,5,33,1.0812263513760791,a5b33
54,5,34,1.0814317474048443,a5b34
55,5,35,1.0816538062283738,a5b35
56,5,36,1.0818749134948098,a5b36
57,5,37,1.0820868867157813,a5b37
58,5,38,1.0822909465667438,a5b38
59,5,39,1.0824627162629759,a5b39
60,5,40,1.0826138408304498,a5b40
61,5,41,1.0827231833910034,a5b41
62,5,42,1.0827886678200693,a5b42
63,5,43,1.0827987024221453,a5b43
64,5,44,1.0827475778546714,a5b44
65,5,45,1.0826519966209447,a5b45
66,6,8,1.0822458551989969,a6b8
67,6,9,1.0827572877761806,a6b9
68,6,10,1.0827887451794174,a6b10
69,6,11,1.082795943782245,a6b11
70,6,12,1.082746453287197,a6b12
71,6,13,1.0826743944636676,a6b13
72,6,14,1.0826291912799422,a6b14
73,6,15,1.083009680598226,a6b15
74,6,32,1.0822112402789537,a6b32
75,6,33,1.0822097316965575,a6b33
76,6,34,1.0822563511523762,a6b34
77,6,35,1.082487960008068,a6b35
78,6,36,1.082623010380623,a6b36
79,6,37,1.0827083389922938,a6b37
80,6,38,1.0827687565157205,a6b38
81,6,39,1.0828230968858132,a6b39
82,6,40,1.0827970588235294,a6b40
83,6,41,1.0827437716262975,a6b41
84,6,42,1.082639705882353,a6b42
85,6,43,1.0824760380622838,a6b43
86,6,44,1.0822942657938783,a6b44
