name,type,habitat,ele_upper,ele_lower,category
Batrachuperus tibetanus,AMPHIBIAN,For_Wet,4250.0,1260.0,VU
Megophrys shapingensis,AMPHIBIAN,For_Shr_Wet,3200.0,2000.0,LC
Batrachuperus pinchonii,AMPHIBIAN,For_Wet,3000.0,1500.0,VU
Scutiger glandulatus,AMPHIBIAN,For_Gra_Wet,4000.0,2200.0,LC
Scutiger brevipes,AMPHIBIAN,Gra_Wet,3500.0,3500.0,DD
Amolops xinduqiao,AMPHIBIAN,For_Wet,,3000.0,LC
Scutiger mammatus,AMPHIBIAN,For_Gra_Wet,4200.0,2600.0,LC
Scutiger boulengeri,AMPHIBIAN,Gra_Wet,,,LC
Nanorana pleskei,AMPHIBIAN,Gra_Shr_Wat_Wet,,,NT
Rana kukunoris,AMPHIBIAN,Gra_Wet,4400.0,2000.0,LC
Bufo gargarizans,AMPHIBIAN,Cro_For_Gra_Shr_Wat,4300.0,2.0,LC
Zhangixalus feae,AMPHIBIAN,For_Wet,2000.0,600.0,LC
Buteo japonicus,BIRD,Cro_For_Gra_Shr_Wet,2500.0,0.0,LC
Circus cyaneus,BIRD,Cro_For_Gra_Shr_Wet,3000.0,0.0,LC
Circus melanoleucos,BIRD,Cro_Gra_Shr_Wet,2100.0,,LC
Cuculus optatus,BIRD,For_Shr,4500.0,0.0,LC
Cuculus saturatus,BIRD,For,4500.0,0.0,LC
Falco cherrug,BIRD,Cro_For_Gra_Shr_Wat_Wet,4700.0,0.0,EN
Falco columbarius,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,,,LC
Falco tinnunculus,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,3500.0,0.0,LC
Glaucidium brodiei,BIRD,For_Shr,2750.0,1350.0,LC
Haliaeetus leucoryphus,BIRD,Wet,5000.0,,EN
Pernis ptilorhynchus,BIRD,For_Gra,1800.0,0.0,LC
Aquila nipalensis,BIRD,Bar_For_Gra,3000.0,0.0,EN
Haliaeetus albicilla,BIRD,For_Gra_Wat_Wet,1500.0,0.0,LC
Ficedula superciliaris,BIRD,Cro_For_Gra_Imp,,,LC
