name,type,habitat,ele_upper,ele_lower,category
Quasipaa boulengeri,AMPHIBIAN,Wet,,,EN
Odorrana schmackeri,AMPHIBIAN,For_Wet,,,LC
Andrias davidianus,AMPHIBIAN,For_Wet,,,CR
Bufo gargarizans,AMPHIBIAN,Cro_For_Gra_Shr_Wat,4300.0,2.0,LC
Raorchestes parvulus,AMPHIBIAN,For_Gra_Shr_Wet,1500.0,46.0,LC
Megophrys minor,AMPHIBIAN,For_Wet,,,LC
Theloderma rhododiscus,AMPHIBIAN,For_Wet,,,NT
Pachytriton brevipes,AMPHIBIAN,For_Wet,,,LC
Quasipaa spinosa,AMPHIBIAN,For_Gra_Wet,,,VU
Polypedates megacephalus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,1600.0,0.0,LC
Megophrys platyparietus,AMPHIBIAN,For_Wet,,,LC
Amolops ricketti,AMPHIBIAN,For_Wet,,,LC
Hylarana latouchii,AMPHIBIAN,For_Wat_Wet,1500.0,30.0,LC
Sylvirana guentheri,AMPHIBIAN,Wat_Wet,1100.0,,LC
Ichthyophis bannanicus,AMPHIBIAN,For_Wat_Wet,,,LC
Hyla simplex,AMPHIBIAN,Cro_For_Shr_Wat,,,LC
Polypedates mutus,AMPHIBIAN,For_Wat_Wet,,,LC
Kurixalus odontotarsus,AMPHIBIAN,For_Shr_Wat_Wet,,,LC
Tylototriton asperrimus,AMPHIBIAN,For_Wet,1400.0,1320.0,NT
Nidirana adenopleura,AMPHIBIAN,For_Gra_Shr_Wat_Wet,1800.0,30.0,LC
Zhangixalus dennysi,AMPHIBIAN,For_Wat_Wet,,,LC
Odorrana chloronota,AMPHIBIAN,For_Wet,1900.0,100.0,LC
Limnonectes quangninhensis,AMPHIBIAN,For_Wet,229.0,5.0,VU
Microhyla pulchra,AMPHIBIAN,Cro_For_Gra_Shr_Wat,1100.0,0.0,LC
Leptobrachella wuhuangmontis,AMPHIBIAN,For_Wet,500.0,500.0,DD
Rohanixalus vittatus,AMPHIBIAN,For_Gra_Wat_Wet,,,LC
Rhacophorus rhodopus,AMPHIBIAN,For_Wet,2100.0,250.0,LC
