name,type,habitat,ele_upper,ele_lower,category
Pachytriton brevipes,AMPHIBIAN,For_Wet,,,LC
Quasipaa spinosa,AMPHIBIAN,For_Gra_Wet,,,VU
Polypedates megacephalus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,1600.0,0.0,LC
Megophrys kuatunensis,AMPHIBIAN,For_Wet,,,LC
Amolops ricketti,AMPHIBIAN,For_Wet,,,LC
Hylarana latouchii,AMPHIBIAN,For_Wat_Wet,1500.0,30.0,LC
Rana zhenhaiensis,AMPHIBIAN,For_Gra_Wat_Wet,,,LC
Sylvirana guentheri,AMPHIBIAN,Wat_Wet,1100.0,,LC
Paramesotriton yunwuensis,AMPHIBIAN,For_Wet,1200.0,300.0,EN
Ichthyophis bannanicus,AMPHIBIAN,For_Wat_Wet,,,LC
Hyla simplex,AMPHIBIAN,Cro_For_Shr_Wat,,,LC
Gracixalus guangdongensis,AMPHIBIAN,For,1600.0,600.0,LC
Kurixalus odontotarsus,AMPHIBIAN,For_Shr_Wat_Wet,,,LC
Zhangixalus dennysi,AMPHIBIAN,For_Wat_Wet,,,LC
Odorrana chloronota,AMPHIBIAN,For_Wet,1900.0,100.0,LC
Microhyla pulchra,AMPHIBIAN,Cro_For_Gra_Shr_Wat,1100.0,0.0,LC
Kaloula pulchra,AMPHIBIAN,Cro_For_Imp_Shr_Wat_Wet,750.0,0.0,LC
Microhyla butleri,AMPHIBIAN,For_Shr_Wat_Wet,1500.0,220.0,LC
Sylvirana cubitalis,AMPHIBIAN,For_Wet,760.0,500.0,LC
Kalophrynus interlineatus,AMPHIBIAN,For_Gra_Shr_Wet,,,LC
Megophrys koui,AMPHIBIAN,For_Wet,,,LC
Megophrys microstoma,AMPHIBIAN,For_Wet,1220.0,330.0,LC
Hoplobatrachus rugulosus,AMPHIBIAN,Cro_Imp_Wat,,,LC
Microhyla fissipes,AMPHIBIAN,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,0.0,LC
Occidozyga martensii,AMPHIBIAN,For_Wat_Wet,,,LC
Hylarana macrodactyla,AMPHIBIAN,For_Wat_Wet,,,LC
Fejervarya limnocharis,AMPHIBIAN,Cro_For_Gra_Imp_Wat_Wet,2000.0,0.0,LC
Hylarana taipehensis,AMPHIBIAN,For_Gra_Shr_Wat_Wet,,,LC
