name,type,habitat,ele_upper,ele_lower,category
Cynops orientalis,AMPHIBIAN,For_Wat_Wet,1000.0,30.0,LC
Bufo gargarizans,AMPHIBIAN,Cro_For_Gra_Shr_Wat,4300.0,2.0,LC
Pelophylax nigromaculatus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,,,NT
Pelophylax fukienensis,AMPHIBIAN,For_Wat_Wet,1200.0,0.0,LC
Paramesotriton chinensis,AMPHIBIAN,For_Wet,1200.0,200.0,LC
Pelophylax plancyi,AMPHIBIAN,Cro_Wat,200.0,0.0,LC
Polypedates megacephalus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,1600.0,0.0,LC
Hylarana latouchii,AMPHIBIAN,For_Wat_Wet,1500.0,30.0,LC
Rana zhenhaiensis,AMPHIBIAN,For_Gra_Wat_Wet,,,LC
Hyla chinensis,AMPHIBIAN,Cro_For_Wat_Wet,,,LC
Megophrys boettgeri,AMPHIBIAN,For_Wet,,,LC
Hoplobatrachus rugulosus,AMPHIBIAN,Cro_Imp_Wat,,,LC
Microhyla fissipes,AMPHIBIAN,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,0.0,LC
Fejervarya limnocharis,AMPHIBIAN,Cro_For_Gra_Imp_Wat_Wet,2000.0,0.0,LC
Asio otus,BIRD,For_Gra_Shr_Wet,2750.0,0.0,LC
Buteo japonicus,BIRD,Cro_For_Gra_Shr_Wet,2500.0,0.0,LC
Circus cyaneus,BIRD,Cro_For_Gra_Shr_Wet,3000.0,0.0,LC
Circus spilonotus,BIRD,Cro_Gra_Wat_Wet,2000.0,0.0,LC
Clanga clanga,BIRD,Cro_For_Gra_Wat_Wet,1400.0,0.0,VU
Cuculus saturatus,BIRD,For,4500.0,0.0,LC
Falco amurensis,BIRD,Cro_For_Gra_Wet,,,LC
Falco tinnunculus,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,3500.0,0.0,LC
Melanitta americana,BIRD,Shr_Wat_Wet,,,NT
Pernis ptilorhynchus,BIRD,For_Gra,1800.0,0.0,LC
Recurvirostra avosetta,BIRD,Gra_Wat_Wet,3000.0,,LC
Calidris pygmaea,BIRD,Gra_Wat,70.0,0.0,CR
Aquila nipalensis,BIRD,Bar_For_Gra,3000.0,0.0,EN
Haliaeetus albicilla,BIRD,For_Gra_Wat_Wet,1500.0,0.0,LC
Ardea intermedia,BIRD,For_Gra_Wat_Wet,1450.0,,LC
Gorsachius goisagi,BIRD,Cro_For_Wet,2400.0,,VU
Emberiza yessoensis,BIRD,Gra_Wat_Wet,,,NT
Saxicola torquatus,BIRD,Cro_For_Gra_Imp_Shr_Wet,3200.0,,LC
Upupa epops,BIRD,Gra_Imp,3650.0,,LC
Milvus migrans,BIRD,Bar_Cro_For_Imp_Shr_Wat_Wet,4900.0,0.0,LC
Oroanassa magnifica,BIRD,For_Wet,,,EN
Anthus cervinus,BIRD,Cro_Shr_Wat_Wet,2500.0,,LC
Anthus richardi,BIRD,Cro,1800.0,,LC
Anthus rubescens,BIRD,Cro_Gra_Wat_Wet,2700.0,,LC
Apus pacificus,BIRD,For_Imp,4000.0,,LC
Aquila fasciata,BIRD,For_Gra_Shr_Wet,3000.0,0.0,LC
Aquila heliaca,BIRD,Cro_For_Gra_Shr_Wet,1600.0,0.0,VU
Ardea alba,BIRD,Gra_Wat_Wet,1500.0,,LC
Ardea cinerea,BIRD,For_Gra_Wat_Wet,4000.0,,LC
Ardea purpurea,BIRD,For_Shr_Wat_Wet,1800.0,,LC
Bubulcus ibis,BIRD,Cro_For_Gra_Wet,4080.0,,LC
Calidris alpina,BIRD,Cro_Wat_Wet,,,LC
Charadrius alexandrinus,BIRD,Bar_Gra_Wat_Wet,3000.0,,LC
Cuculus canorus,BIRD,For_Gra_Shr,3800.0,,LC
Cyanecula svecica,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,,LC
Emberiza schoeniclus,BIRD,Cro_Wet,,,LC
Falco peregrinus,BIRD,Bar_For_Gra_Imp_Shr_Wat_Wet,3300.0,0.0,LC
Fulica atra,BIRD,Gra_Wat_Wet,3500.0,,LC
Gallinago gallinago,BIRD,For_Gra_Wat_Wet,,,LC
Gallinula chloropus,BIRD,Wat_Wet,4000.0,,LC
Himantopus himantopus,BIRD,Gra_Wat_Wet,4200.0,,LC
Hirundapus caudacutus,BIRD,For_Gra_Shr,4000.0,,LC
Hirundo rustica,BIRD,Cro_Gra_Imp_Shr_Wat_Wet,3000.0,,LC
Horornis canturians,BIRD,For_Imp_Shr_Wet,,,LC
Hydroprogne caspia,BIRD,Wat_Wet,,,LC
Larus canus,BIRD,Gra_Wat_Wet,1400.0,,LC
Larus fuscus,BIRD,Cro_Gra_Imp_Wat_Wet,,,LC
Larus smithsonianus,BIRD,Cro_Imp_Wat,2000.0,,LC
Motacilla alba,BIRD,Bar_Gra_Wat_Wet,5000.0,,LC
Motacilla citreola,BIRD,Cro_Wat_Wet,4600.0,,LC
Motacilla tschutschensis,BIRD,Cro_Gra_Shr_Wat_Wet,4500.0,,LC
Muscicapa dauurica,BIRD,For_Imp,,,LC
Muscicapa sibirica,BIRD,For_Shr,4000.0,1400.0,LC
Nycticorax nycticorax,BIRD,For_Wat_Wet,4800.0,,LC
Pandion haliaetus,BIRD,For_Wat_Wet,1000.0,0.0,LC
Phalacrocorax carbo,BIRD,For_Wat_Wet,,,LC
Platalea leucorodia,BIRD,For_Wat,,,LC
Podiceps cristatus,BIRD,Wat_Wet,3000.0,0.0,LC
Scolopax rusticola,BIRD,For_Shr,,,LC
Sternula albifrons,BIRD,Wat_Wet,2000.0,,LC
Streptopelia decaocto,BIRD,Cro_Imp_Shr,,,LC
Tachybaptus ruficollis,BIRD,Wat_Wet,1000.0,,LC
Tadorna tadorna,BIRD,Wat_Wet,,,LC
Urile pelagicus,BIRD,Wat,50.0,,LC
Zapornia pusilla,BIRD,Gra_Wat_Wet,2450.0,,LC
Zoothera aurea,BIRD,For_Shr,3600.0,,LC
Zosterops simplex,BIRD,For,2590.0,,LC
Charadrius placidus,BIRD,Cro_Wat_Wet,,,LC
Charadrius veredus,BIRD,Bar_Gra_Wat_Wet,,,LC
