name,type,habitat,ele_upper,ele_lower,category
Quasipaa boulengeri,AMPHIBIAN,Wet,,,EN
Odorrana schmackeri,AMPHIBIAN,For_Wet,,,LC
Odorrana margaretae,AMPHIBIAN,For_Wet,,,LC
Leptobrachella oshanensis,AMPHIBIAN,For_Wet,1800.0,600.0,LC
Amolops chunganensis,AMPHIBIAN,For_Wet,1900.0,700.0,LC
Megophrys omeimontis,AMPHIBIAN,For_Wet,1500.0,700.0,LC
Nidirana daunchina,AMPHIBIAN,For_Wat_Wet,1800.0,1000.0,LC
Zhangixalus chenfui,AMPHIBIAN,For_Shr_Wat,3000.0,900.0,LC
Rana omeimontis,AMPHIBIAN,For_Gra_Wat_Wet,2100.0,250.0,LC
Leptobrachium boringii,AMPHIBIAN,For_Wet,1700.0,600.0,EN
Kaloula rugifera,AMPHIBIAN,Cro_Gra_Wet,1200.0,500.0,LC
Oreolalax major,AMPHIBIAN,For_Wet,2400.0,1200.0,LC
Amolops granulosus,AMPHIBIAN,For_Gra_Wet,2200.0,1000.0,LC
Oreolalax popei,AMPHIBIAN,For_Wet,2000.0,700.0,LC
Batrachuperus tibetanus,AMPHIBIAN,For_Wet,4250.0,1260.0,VU
Megophrys shapingensis,AMPHIBIAN,For_Shr_Wet,3200.0,2000.0,LC
Rana chevronta,AMPHIBIAN,For_Wet,1800.0,1600.0,CR
Batrachuperus londongensis,AMPHIBIAN,For_Wet,,1300.0,EN
Rana zhengi,AMPHIBIAN,For_Wet,1300.0,1300.0,DD
Oreolalax omeimontis,AMPHIBIAN,For_Wet,1800.0,1050.0,EN
Oreolalax weigoldi,AMPHIBIAN,,,,DD
Oreolalax multipunctatus,AMPHIBIAN,For_Wet,1920.0,1520.0,EN
Oreolalax schmidti,AMPHIBIAN,For_Gra_Shr_Wet,2520.0,1700.0,NT
Batrachuperus pinchonii,AMPHIBIAN,For_Wet,3000.0,1500.0,VU
Megophrys wawuensis,AMPHIBIAN,For_Wet,1800.0,1800.0,DD
Amolops mantzorum,AMPHIBIAN,For_Shr_Wet,3800.0,1000.0,LC
Batrachuperus karlschmidti,AMPHIBIAN,Wet,,,VU
