name,type,habitat,ele_upper,ele_lower,category
Raorchestes parvulus,AMPHIBIAN,For_Gra_Shr_Wet,1500.0,46.0,LC
Chirixalus nongkhorensis,AMPHIBIAN,For_Shr_Wet,1660.0,78.0,LC
Glyphoglossus yunnanensis,AMPHIBIAN,For_Shr_Wat_Wet,3100.0,1900.0,LC
Zhangixalus dugritei,AMPHIBIAN,For_Gra_Wet,,,LC
Nanorana yunnanensis,AMPHIBIAN,For_Gra_Wat_Wet,,,EN
Quasipaa spinosa,AMPHIBIAN,For_Gra_Wet,,,VU
Leptobrachium chapaense,AMPHIBIAN,For_Wet,1350.0,1000.0,LC
Nanorana bourreti,AMPHIBIAN,For_Wet,2090.0,1570.0,LC
Raorchestes menglaensis,AMPHIBIAN,For_Shr_Wet,1100.0,600.0,LC
Kalophrynus menglienicus,AMPHIBIAN,,,,
Megophrys feae,AMPHIBIAN,For_Wet,2800.0,950.0,LC
Limnonectes taylori,AMPHIBIAN,For_Wet,1650.0,440.0,LC
Zhangixalus feae,AMPHIBIAN,For_Wet,2000.0,600.0,LC
Odorrana jingdongensis,AMPHIBIAN,For_Wet,1900.0,1000.0,VU
Leptobrachium huashen,AMPHIBIAN,For_Wet,2400.0,1000.0,LC
Tylototriton shanjing,AMPHIBIAN,For_Wat_Wet,2500.0,1450.0,VU
Hyla annectans,AMPHIBIAN,Cro_For_Imp_Wat_Wet,,,LC
Odorrana andersonii,AMPHIBIAN,,,,
Ichthyophis bannanicus,AMPHIBIAN,For_Wat_Wet,,,LC
Polypedates mutus,AMPHIBIAN,For_Wat_Wet,,,LC
Kurixalus odontotarsus,AMPHIBIAN,For_Shr_Wat_Wet,,,LC
Odorrana chloronota,AMPHIBIAN,For_Wet,1900.0,100.0,LC
Amolops mengyangensis,AMPHIBIAN,For_Wet,1900.0,680.0,LC
Microhyla pulchra,AMPHIBIAN,Cro_For_Gra_Shr_Wat,1100.0,0.0,LC
Megophrys parva,AMPHIBIAN,For_Wet,,,LC
Theloderma gordoni,AMPHIBIAN,For,1500.0,600.0,LC
Chirixalus doriae,AMPHIBIAN,For_Shr_Wat_Wet,1630.0,,LC
Rohanixalus vittatus,AMPHIBIAN,For_Gra_Wat_Wet,,,LC
Megophrys major,AMPHIBIAN,For_Wet,,,LC
Rhacophorus rhodopus,AMPHIBIAN,For_Wet,2100.0,250.0,LC
Rhacophorus kio,AMPHIBIAN,For_Wet,1800.0,200.0,LC
Tylototriton anguliceps,AMPHIBIAN,For_Wet,1705.0,1443.0,LC
Nanorana aenea,AMPHIBIAN,For_Wet,2050.0,1280.0,LC
Kaloula pulchra,AMPHIBIAN,Cro_For_Imp_Shr_Wat_Wet,750.0,0.0,LC
Microhyla butleri,AMPHIBIAN,For_Shr_Wat_Wet,1500.0,220.0,LC
Papurana milleti,AMPHIBIAN,For_Wat_Wet,1875.0,120.0,LC
Sylvirana cubitalis,AMPHIBIAN,For_Wet,760.0,500.0,LC
Kalophrynus interlineatus,AMPHIBIAN,For_Gra_Shr_Wet,,,LC
Megophrys microstoma,AMPHIBIAN,For_Wet,1220.0,330.0,LC
Hoplobatrachus rugulosus,AMPHIBIAN,Cro_Imp_Wat,,,LC
Microhyla fissipes,AMPHIBIAN,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,0.0,LC
Occidozyga martensii,AMPHIBIAN,For_Wat_Wet,,,LC
Fejervarya limnocharis,AMPHIBIAN,Cro_For_Gra_Imp_Wat_Wet,2000.0,0.0,LC
Sylvirana nigrovittata,AMPHIBIAN,For_Wet,,,LC
Duttaphrynus melanostictus,AMPHIBIAN,Cro_Imp_Wat,,,LC
Ingerophrynus macrotis,AMPHIBIAN,For_Gra_Wet,650.0,50.0,LC
Hylarana lateralis,AMPHIBIAN,,,,
Leptobrachella pelodytoides,AMPHIBIAN,For_Wet,,,LC
