name,type,habitat,ele_upper,ele_lower,category
Raorchestes parvulus,AMPHIBIAN,For_Gra_Shr_Wet,1500.0,46.0,LC
Quasipaa spinosa,AMPHIBIAN,For_Gra_Wet,,,VU
Polypedates megacephalus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,1600.0,0.0,LC
Megophrys platyparietus,AMPHIBIAN,For_Wet,,,LC
Amolops ricketti,AMPHIBIAN,For_Wet,,,LC
Megophrys feae,AMPHIBIAN,For_Wet,2800.0,950.0,LC
Paramesotriton deloustali,AMPHIBIAN,For_Wet,1900.0,600.0,LC
Sylvirana guentheri,AMPHIBIAN,Wat_Wet,1100.0,,LC
Hyla simplex,AMPHIBIAN,Cro_For_Shr_Wat,,,LC
Polypedates mutus,AMPHIBIAN,For_Wat_Wet,,,LC
Kurixalus odontotarsus,AMPHIBIAN,For_Shr_Wat_Wet,,,LC
Zhangixalus dennysi,AMPHIBIAN,For_Wat_Wet,,,LC
Odorrana chloronota,AMPHIBIAN,For_Wet,1900.0,100.0,LC
Odorrana trankieni,AMPHIBIAN,For_Wet,700.0,300.0,NT
Tylototriton vietnamensis,AMPHIBIAN,For_Wet,980.0,181.0,VU
Microhyla pulchra,AMPHIBIAN,Cro_For_Gra_Shr_Wat,1100.0,0.0,LC
Theloderma lateriticum,AMPHIBIAN,For_Wet,1400.0,240.0,LC
Leptobrachella sungi,AMPHIBIAN,For_Wet,955.0,331.0,LC
Theloderma gordoni,AMPHIBIAN,For,1500.0,600.0,LC
Rohanixalus vittatus,AMPHIBIAN,For_Gra_Wat_Wet,,,LC
Megophrys major,AMPHIBIAN,For_Wet,,,LC
Rhacophorus rhodopus,AMPHIBIAN,For_Wet,2100.0,250.0,LC
Rhacophorus kio,AMPHIBIAN,For_Wet,1800.0,200.0,LC
Kaloula pulchra,AMPHIBIAN,Cro_For_Imp_Shr_Wat_Wet,750.0,0.0,LC
Microhyla butleri,AMPHIBIAN,For_Shr_Wat_Wet,1500.0,220.0,LC
Ingerophrynus galeatus,AMPHIBIAN,For_Wet,1060.0,400.0,LC
Sylvirana cubitalis,AMPHIBIAN,For_Wet,760.0,500.0,LC
Kalophrynus interlineatus,AMPHIBIAN,For_Gra_Shr_Wet,,,LC
Megophrys koui,AMPHIBIAN,For_Wet,,,LC
Megophrys microstoma,AMPHIBIAN,For_Wet,1220.0,330.0,LC
Hoplobatrachus rugulosus,AMPHIBIAN,Cro_Imp_Wat,,,LC
Theloderma corticale,AMPHIBIAN,For,1500.0,470.0,LC
Microhyla fissipes,AMPHIBIAN,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,0.0,LC
Sylvirana maosonensis,AMPHIBIAN,For_Wet,1500.0,200.0,LC
Occidozyga martensii,AMPHIBIAN,For_Wat_Wet,,,LC
Hylarana macrodactyla,AMPHIBIAN,For_Wat_Wet,,,LC
Fejervarya limnocharis,AMPHIBIAN,Cro_For_Gra_Imp_Wat_Wet,2000.0,0.0,LC
Hylarana taipehensis,AMPHIBIAN,For_Gra_Shr_Wat_Wet,,,LC
Sylvirana nigrovittata,AMPHIBIAN,For_Wet,,,LC
Duttaphrynus melanostictus,AMPHIBIAN,Cro_Imp_Wat,,,LC
Microhyla heymonsi,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,,,LC
Occidozyga lima,AMPHIBIAN,For_Gra_Wat_Wet,750.0,,LC
Limnonectes kuhlii,AMPHIBIAN,For_Shr_Wat_Wet,,,LC
Buteo japonicus,BIRD,Cro_For_Gra_Shr_Wet,2500.0,0.0,LC
Circus cyaneus,BIRD,Cro_For_Gra_Shr_Wet,3000.0,0.0,LC
Circus melanoleucos,BIRD,Cro_Gra_Shr_Wet,2100.0,,LC
Circus spilonotus,BIRD,Cro_Gra_Wat_Wet,2000.0,0.0,LC
Cuculus optatus,BIRD,For_Shr,4500.0,0.0,LC
Cuculus saturatus,BIRD,For,4500.0,0.0,LC
Falco amurensis,BIRD,Cro_For_Gra_Wet,,,LC
Falco columbarius,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,,,LC
Falco severus,BIRD,Cro_For_Gra,2600.0,0.0,LC
Falco tinnunculus,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,3500.0,0.0,LC
Pernis ptilorhynchus,BIRD,For_Gra,1800.0,0.0,LC
Aythya ferina,BIRD,Wat_Wet,2690.0,0.0,VU
Ardea intermedia,BIRD,For_Gra_Wat_Wet,1450.0,,LC
Saxicola torquatus,BIRD,Cro_For_Gra_Imp_Shr_Wet,3200.0,,LC
Rallina eurizonoides,BIRD,Cro_For_Shr_Wat_Wet,1600.0,,LC
Anas crecca,BIRD,Cro_For_Shr_Wat_Wet,,,LC
Upupa epops,BIRD,Gra_Imp,3650.0,,LC
