name,type,habitat,ele_upper,ele_lower,category
Bufo gargarizans,AMPHIBIAN,Cro_For_Gra_Shr_Wat,4300.0,2.0,LC
Raorchestes parvulus,AMPHIBIAN,For_Gra_Shr_Wet,1500.0,46.0,LC
Chirixalus nongkhorensis,AMPHIBIAN,For_Shr_Wet,1660.0,78.0,LC
Megophrys wuliangshanensis,AMPHIBIAN,For_Wet,,,DD
Amolops viridimaculatus,AMPHIBIAN,For_Wet,,,NT
Glyphoglossus yunnanensis,AMPHIBIAN,For_Shr_Wat_Wet,3100.0,1900.0,LC
Kaloula verrucosa,AMPHIBIAN,Cro_Gra_Wat_Wet,2400.0,1430.0,LC
Rana chaochiaoensis,AMPHIBIAN,For_Gra_Shr_Wat_Wet,3500.0,1150.0,LC
Nidirana pleuraden,AMPHIBIAN,Wat_Wet,2300.0,1150.0,LC
Zhangixalus dugritei,AMPHIBIAN,For_Gra_Wet,,,LC
Megophrys minor,AMPHIBIAN,For_Wet,,,LC
Nanorana yunnanensis,AMPHIBIAN,For_Gra_Wat_Wet,,,EN
Quasipaa spinosa,AMPHIBIAN,For_Gra_Wet,,,VU
Polypedates megacephalus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,1600.0,0.0,LC
Leptobrachium chapaense,AMPHIBIAN,For_Wet,1350.0,1000.0,LC
Nanorana bourreti,AMPHIBIAN,For_Wet,2090.0,1570.0,LC
Theloderma petilum,AMPHIBIAN,For,620.0,600.0,VU
Raorchestes menglaensis,AMPHIBIAN,For_Shr_Wet,1100.0,600.0,LC
Nidirana lini,AMPHIBIAN,For_Wat_Wet,1650.0,980.0,LC
Leptobrachella ventripunctata,AMPHIBIAN,For_Wet,1885.0,500.0,LC
Megophrys feae,AMPHIBIAN,For_Wet,2800.0,950.0,LC
Amolops splendissimus,AMPHIBIAN,For_Wet,2400.0,1850.0,VU
Zhangixalus feae,AMPHIBIAN,For_Wet,2000.0,600.0,LC
Limnonectes liui,AMPHIBIAN,For_Wet,760.0,550.0,VU
Amolops caelumnoctis,AMPHIBIAN,For_Wet,2400.0,2400.0,LC
Zhangixalus puerensis,AMPHIBIAN,For_Gra_Wet,,,DD
Megophrys jingdongensis,AMPHIBIAN,For_Wet,2400.0,1000.0,LC
Raorchestes longchuanensis,AMPHIBIAN,Shr,,,LC
Odorrana jingdongensis,AMPHIBIAN,For_Wet,1900.0,1000.0,VU
Nanorana unculuanus,AMPHIBIAN,For_Wet,2200.0,1650.0,VU
Leptobrachium huashen,AMPHIBIAN,For_Wet,2400.0,1000.0,LC
Nanorana maculosa,AMPHIBIAN,For_Wet,2600.0,1800.0,VU
Oreolalax granulosus,AMPHIBIAN,For_Wet,2450.0,2300.0,NT
Oreolalax jingdongensis,AMPHIBIAN,For_Wet,2450.0,1800.0,VU
Leptobrachium ailaonicum,AMPHIBIAN,For_Wet,,,NT
Tylototriton shanjing,AMPHIBIAN,For_Wat_Wet,2500.0,1450.0,VU
Cynops yunnanensis,AMPHIBIAN,Gra_Wet,2600.0,1800.0,VU
Hyla annectans,AMPHIBIAN,Cro_For_Imp_Wat_Wet,,,LC
Odorrana andersonii,AMPHIBIAN,,,,
Polypedates mutus,AMPHIBIAN,For_Wat_Wet,,,LC
Kurixalus odontotarsus,AMPHIBIAN,For_Shr_Wat_Wet,,,LC
Odorrana chloronota,AMPHIBIAN,For_Wet,1900.0,100.0,LC
Amolops mengyangensis,AMPHIBIAN,For_Wet,1900.0,680.0,LC
Microhyla pulchra,AMPHIBIAN,Cro_For_Gra_Shr_Wat,1100.0,0.0,LC
Megophrys parva,AMPHIBIAN,For_Wet,,,LC
Theloderma gordoni,AMPHIBIAN,For,1500.0,600.0,LC
Chirixalus doriae,AMPHIBIAN,For_Shr_Wat_Wet,1630.0,,LC
Rohanixalus vittatus,AMPHIBIAN,For_Gra_Wat_Wet,,,LC
Megophrys major,AMPHIBIAN,For_Wet,,,LC
Rhacophorus rhodopus,AMPHIBIAN,For_Wet,2100.0,250.0,LC
Rhacophorus maximus,AMPHIBIAN,For_Wat_Wet,,,LC
Rhacophorus kio,AMPHIBIAN,For_Wet,1800.0,200.0,LC
Tylototriton anguliceps,AMPHIBIAN,For_Wet,1705.0,1443.0,LC
Gracixalus gracilipes,AMPHIBIAN,For_Wet,2500.0,1500.0,LC
Nanorana aenea,AMPHIBIAN,For_Wet,2050.0,1280.0,LC
Kaloula pulchra,AMPHIBIAN,Cro_For_Imp_Shr_Wat_Wet,750.0,0.0,LC
Microhyla butleri,AMPHIBIAN,For_Shr_Wat_Wet,1500.0,220.0,LC
Papurana milleti,AMPHIBIAN,For_Wat_Wet,1875.0,120.0,LC
Ingerophrynus galeatus,AMPHIBIAN,For_Wet,1060.0,400.0,LC
Sylvirana cubitalis,AMPHIBIAN,For_Wet,760.0,500.0,LC
Kalophrynus interlineatus,AMPHIBIAN,For_Gra_Shr_Wet,,,LC
Megophrys koui,AMPHIBIAN,For_Wet,,,LC
Megophrys microstoma,AMPHIBIAN,For_Wet,1220.0,330.0,LC
Hoplobatrachus rugulosus,AMPHIBIAN,Cro_Imp_Wat,,,LC
Theloderma corticale,AMPHIBIAN,For,1500.0,470.0,LC
Microhyla fissipes,AMPHIBIAN,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,0.0,LC
Sylvirana maosonensis,AMPHIBIAN,For_Wet,1500.0,200.0,LC
Occidozyga martensii,AMPHIBIAN,For_Wat_Wet,,,LC
Fejervarya limnocharis,AMPHIBIAN,Cro_For_Gra_Imp_Wat_Wet,2000.0,0.0,LC
Hylarana taipehensis,AMPHIBIAN,For_Gra_Shr_Wat_Wet,,,LC
Sylvirana nigrovittata,AMPHIBIAN,For_Wet,,,LC
Duttaphrynus melanostictus,AMPHIBIAN,Cro_Imp_Wat,,,LC
Ingerophrynus macrotis,AMPHIBIAN,For_Gra_Wet,650.0,50.0,LC
Hylarana lateralis,AMPHIBIAN,,,,
Leptobrachella pelodytoides,AMPHIBIAN,For_Wet,,,LC
Microhyla heymonsi,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,,,LC
Microhyla berdmorei,AMPHIBIAN,For_Gra_Shr_Wat_Wet,1200.0,,LC
Occidozyga lima,AMPHIBIAN,For_Gra_Wat_Wet,750.0,,LC
Polypedates leucomystax,AMPHIBIAN,Cro_For_Gra_Imp_Shr_Wat_Wet,,,LC
Limnonectes kuhlii,AMPHIBIAN,For_Shr_Wat_Wet,,,LC
Buteo japonicus,BIRD,Cro_For_Gra_Shr_Wet,2500.0,0.0,LC
Circus cyaneus,BIRD,Cro_For_Gra_Shr_Wet,3000.0,0.0,LC
Circus melanoleucos,BIRD,Cro_Gra_Shr_Wet,2100.0,,LC
Circus spilonotus,BIRD,Cro_Gra_Wat_Wet,2000.0,0.0,LC
Clanga clanga,BIRD,Cro_For_Gra_Wat_Wet,1400.0,0.0,VU
Cuculus optatus,BIRD,For_Shr,4500.0,0.0,LC
Cuculus saturatus,BIRD,For,4500.0,0.0,LC
