name,type,habitat,ele_upper,ele_lower,category
Quasipaa boulengeri,AMPHIBIAN,Wet,,,EN
Odorrana schmackeri,AMPHIBIAN,For_Wet,,,LC
Odorrana margaretae,AMPHIBIAN,For_Wet,,,LC
Andrias davidianus,AMPHIBIAN,For_Wet,,,CR
Rana omeimontis,AMPHIBIAN,For_Gra_Wat_Wet,2100.0,250.0,LC
Bufo gargarizans,AMPHIBIAN,Cro_For_Gra_Shr_Wat,4300.0,2.0,LC
Pelophylax nigromaculatus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,,,NT
Megophrys minor,AMPHIBIAN,For_Wet,,,LC
Nanorana yunnanensis,AMPHIBIAN,For_Gra_Wat_Wet,,,EN
Theloderma rhododiscus,AMPHIBIAN,For_Wet,,,NT
Quasipaa shini,AMPHIBIAN,For_Wet,1550.0,510.0,EN
Paramesotriton caudopunctatus,AMPHIBIAN,For_Wet,1800.0,500.0,NT
Zhangixalus minimus,AMPHIBIAN,For_Wat_Wet,1600.0,900.0,NT
Pachytriton brevipes,AMPHIBIAN,For_Wet,,,LC
Quasipaa spinosa,AMPHIBIAN,For_Gra_Wet,,,VU
Pachytriton moi,AMPHIBIAN,For_Wet,2200.0,920.0,EN
Polypedates megacephalus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,1600.0,0.0,LC
Megophrys platyparietus,AMPHIBIAN,For_Wet,,,LC
Odorrana versabilis,AMPHIBIAN,For_Wet,1350.0,300.0,LC
Amolops ricketti,AMPHIBIAN,For_Wet,,,LC
Leptobrachella liui,AMPHIBIAN,For_Gra_Wet,1400.0,300.0,LC
Leptobrachium liui,AMPHIBIAN,For_Wet,1600.0,800.0,LC
Pachytriton inexpectatus,AMPHIBIAN,For_Wet,2000.0,300.0,LC
Leptobrachium leishanense,AMPHIBIAN,For_Wet,1800.0,1100.0,EN
Odorrana lungshengensis,AMPHIBIAN,For_Wet,1500.0,900.0,LC
Megophrys spinata,AMPHIBIAN,For_Wet,1800.0,800.0,LC
Hyla sanchiangensis,AMPHIBIAN,For_Wat_Wet,1560.0,500.0,LC
