name,type,habitat,ele_upper,ele_lower,category
Quasipaa boulengeri,AMPHIBIAN,Wet,,,EN
Odorrana schmackeri,AMPHIBIAN,For_Wet,,,LC
Odorrana margaretae,AMPHIBIAN,For_Wet,,,LC
Andrias davidianus,AMPHIBIAN,For_Wet,,,CR
Pelophylax hubeiensis,AMPHIBIAN,Wat,1070.0,60.0,LC
Cynops orientalis,AMPHIBIAN,For_Wat_Wet,1000.0,30.0,LC
Dryophytes immaculatus,AMPHIBIAN,For_Gra_Shr_Wat_Wet,,,LC
Bufo gargarizans,AMPHIBIAN,Cro_For_Gra_Shr_Wat,4300.0,2.0,LC
Pelophylax nigromaculatus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,,,NT
Dryophytes japonicus,AMPHIBIAN,For_Imp_Shr_Wat_Wet,,,LC
Megophrys minor,AMPHIBIAN,For_Wet,,,LC
Quasipaa shini,AMPHIBIAN,For_Wet,1550.0,510.0,EN
Limnonectes fujianensis,AMPHIBIAN,For_Wat_Wet,1100.0,600.0,LC
Pachytriton brevipes,AMPHIBIAN,For_Wet,,,LC
Quasipaa exilispinosa,AMPHIBIAN,For_Wet,1400.0,0.0,LC
Quasipaa spinosa,AMPHIBIAN,For_Gra_Wet,,,VU
Polypedates megacephalus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,1600.0,0.0,LC
Megophrys platyparietus,AMPHIBIAN,For_Wet,,,LC
Rana hanluica,AMPHIBIAN,For_Wat_Wet,1300.0,840.0,DD
Amolops ricketti,AMPHIBIAN,For_Wet,,,LC
Leptobrachella liui,AMPHIBIAN,For_Gra_Wet,1400.0,300.0,LC
Pachytriton archospotus,AMPHIBIAN,For_Shr_Wet,1600.0,800.0,NT
Leptobrachium liui,AMPHIBIAN,For_Wet,1600.0,800.0,LC
Pachytriton inexpectatus,AMPHIBIAN,For_Wet,2000.0,300.0,LC
Hynobius guabangshanensis,AMPHIBIAN,For_Shr_Wat_Wet,800.0,400.0,CR
Hyla sanchiangensis,AMPHIBIAN,For_Wat_Wet,1560.0,500.0,LC
Hylarana latouchii,AMPHIBIAN,For_Wat_Wet,1500.0,30.0,LC
