name,type,habitat,ele_upper,ele_lower,category
Bombina orientalis,AMPHIBIAN,For_Shr_Wat_Wet,1100.0,0.0,LC
Rana amurensis,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,650.0,0.0,LC
Salamandrella keyserlingii,AMPHIBIAN,Cro_For_Shr_Wet,,,LC
Bufo gargarizans,AMPHIBIAN,Cro_For_Gra_Shr_Wat,4300.0,2.0,LC
Kaloula borealis,AMPHIBIAN,Cro_For_Wat,1200.0,1.0,LC
Rana huanrensis,AMPHIBIAN,For_Gra_Wet,745.0,58.0,LC
Pelophylax nigromaculatus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,,,NT
Bufo stejnegeri,AMPHIBIAN,For_Wet,1200.0,200.0,LC
Dryophytes japonicus,AMPHIBIAN,For_Imp_Shr_Wat_Wet,,,LC
Glandirana emeljanovi,AMPHIBIAN,For_Wat_Wet,300.0,100.0,LC
Rana chensinensis,AMPHIBIAN,For_Wet,,,LC
Hynobius leechii,AMPHIBIAN,For_Wet,800.0,12.0,LC
Onychodactylus fischeri,AMPHIBIAN,For_Wet,,,LC
Onychodactylus zhangyapingi,AMPHIBIAN,For_Wet,1000.0,250.0,DD
Strauchbufo raddei,AMPHIBIAN,Bar_Cro_For_Shr_Wat_Wet,,,LC
Rana dybowskii,AMPHIBIAN,For_Wat_Wet,,,LC
Asio otus,BIRD,For_Gra_Shr_Wet,2750.0,0.0,LC
Buteo japonicus,BIRD,Cro_For_Gra_Shr_Wet,2500.0,0.0,LC
Circus cyaneus,BIRD,Cro_For_Gra_Shr_Wet,3000.0,0.0,LC
Circus melanoleucos,BIRD,Cro_Gra_Shr_Wet,2100.0,,LC
Circus spilonotus,BIRD,Cro_Gra_Wat_Wet,2000.0,0.0,LC
Clanga clanga,BIRD,Cro_For_Gra_Wat_Wet,1400.0,0.0,VU
Cuculus optatus,BIRD,For_Shr,4500.0,0.0,LC
Falco amurensis,BIRD,Cro_For_Gra_Wet,,,LC
Falco tinnunculus,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,3500.0,0.0,LC
Pernis ptilorhynchus,BIRD,For_Gra,1800.0,0.0,LC
Recurvirostra avosetta,BIRD,Gra_Wat_Wet,3000.0,,LC
Surnia ulula,BIRD,For_Gra_Shr_Wet,2650.0,0.0,LC
Haliaeetus albicilla,BIRD,For_Gra_Wat_Wet,1500.0,0.0,LC
Emberiza yessoensis,BIRD,Gra_Wat_Wet,,,NT
Saxicola torquatus,BIRD,Cro_For_Gra_Imp_Shr_Wet,3200.0,,LC
Dendrocopos leucotos,BIRD,For_Wet,1850.0,,LC
Zapornia paykullii,BIRD,Gra_Wet,,,NT
Anas crecca,BIRD,Cro_For_Shr_Wat_Wet,,,LC
Upupa epops,BIRD,Gra_Imp,3650.0,,LC
Milvus migrans,BIRD,Bar_Cro_For_Imp_Shr_Wat_Wet,4900.0,0.0,LC
Acanthis flammea,BIRD,For_Shr,,,LC
Alaudala rufescens,BIRD,Gra_Shr_Wat,3000.0,,LC
Anthus richardi,BIRD,Cro,1800.0,,LC
Anthus rubescens,BIRD,Cro_Gra_Wat_Wet,2700.0,,LC
Apus pacificus,BIRD,For_Imp,4000.0,,LC
Aquila heliaca,BIRD,Cro_For_Gra_Shr_Wet,1600.0,0.0,VU
Ardea alba,BIRD,Gra_Wat_Wet,1500.0,,LC
Ardea cinerea,BIRD,For_Gra_Wat_Wet,4000.0,,LC
Ardea purpurea,BIRD,For_Shr_Wat_Wet,1800.0,,LC
Athene noctua,BIRD,Cro_Gra_Imp_Shr,2600.0,,LC
Charadrius dubius,BIRD,For_Gra_Imp_Wat_Wet,800.0,,LC
Cuculus canorus,BIRD,For_Gra_Shr,3800.0,,LC
Cyanecula svecica,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,,LC
Emberiza pallasi,BIRD,Cro_Gra_Shr_Wet,,,LC
Emberiza schoeniclus,BIRD,Cro_Wet,,,LC
Falco peregrinus,BIRD,Bar_For_Gra_Imp_Shr_Wat_Wet,3300.0,0.0,LC
Fulica atra,BIRD,Gra_Wat_Wet,3500.0,,LC
Galerida cristata,BIRD,Cro_Gra_Imp_Shr_Wat,3200.0,,LC
Gallinula chloropus,BIRD,Wat_Wet,4000.0,,LC
Haematopus ostralegus,BIRD,Cro_Wat_Wet,,,NT
Himantopus himantopus,BIRD,Gra_Wat_Wet,4200.0,,LC
Hirundapus caudacutus,BIRD,For_Gra_Shr,4000.0,,LC
Hirundo rustica,BIRD,Cro_Gra_Imp_Shr_Wat_Wet,3000.0,,LC
Horornis canturians,BIRD,For_Imp_Shr_Wet,,,LC
Larus canus,BIRD,Gra_Wat_Wet,1400.0,,LC
Larus fuscus,BIRD,Cro_Gra_Imp_Wat_Wet,,,LC
Larus smithsonianus,BIRD,Cro_Imp_Wat,2000.0,,LC
Motacilla alba,BIRD,Bar_Gra_Wat_Wet,5000.0,,LC
Motacilla citreola,BIRD,Cro_Wat_Wet,4600.0,,LC
Motacilla tschutschensis,BIRD,Cro_Gra_Shr_Wat_Wet,4500.0,,LC
Muscicapa dauurica,BIRD,For_Imp,,,LC
Muscicapa sibirica,BIRD,For_Shr,4000.0,1400.0,LC
Nycticorax nycticorax,BIRD,For_Wat_Wet,4800.0,,LC
Pandion haliaetus,BIRD,For_Wat_Wet,1000.0,0.0,LC
Phalacrocorax carbo,BIRD,For_Wat_Wet,,,LC
Platalea leucorodia,BIRD,For_Wat,,,LC
Podiceps cristatus,BIRD,Wat_Wet,3000.0,0.0,LC
Poecile montanus,BIRD,For_Shr_Wet,4275.0,,LC
Riparia riparia,BIRD,Cro_Gra_Wat_Wet,,,LC
Sterna hirundo,BIRD,Wat_Wet,4000.0,0.0,LC
Sternula albifrons,BIRD,Wat_Wet,2000.0,,LC
Streptopelia decaocto,BIRD,Cro_Imp_Shr,,,LC
Tachybaptus ruficollis,BIRD,Wat_Wet,1000.0,,LC
