name,type,habitat,ele_upper,ele_lower,category
Nanorana liebigii,AMPHIBIAN,Shr_Wet,,,LC
Duttaphrynus himalayanus,AMPHIBIAN,Cro_For_Shr_Wat_Wet,,,LC
Nanorana parkeri,AMPHIBIAN,For_Gra_Shr_Wet,,,LC
Scutiger boulengeri,AMPHIBIAN,Gra_Wet,,,LC
Minervarya nepalensis,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,500.0,,LC
Megophrys robusta,AMPHIBIAN,For_Wet,,,DD
Amolops gerbillus,AMPHIBIAN,For_Shr_Wet,,,LC
Minervarya teraiensis,AMPHIBIAN,Gra_Wat_Wet,2440.0,,LC
Amolops monticola,AMPHIBIAN,For_Wet,,,LC
Amolops formosus,AMPHIBIAN,For_Wet,,,LC
Theloderma moloch,AMPHIBIAN,For_Shr,,,VU
Raorchestes annandalii,AMPHIBIAN,For_Shr,,,LC
Rhacophorus translineatus,AMPHIBIAN,For_Wet,,,DD
Ingerana borealis,AMPHIBIAN,For_Wat_Wet,,,VU
Polypedates megacephalus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,1600.0,0.0,LC
Amolops marmoratus,AMPHIBIAN,For_Wet,,,LC
Polypedates maculatus,AMPHIBIAN,For_Imp_Shr_Wat,,,LC
Megophrys parva,AMPHIBIAN,For_Wet,,,LC
Clinotarsus alticola,AMPHIBIAN,For_Gra_Shr_Wet,,,LC
Rohanixalus vittatus,AMPHIBIAN,For_Gra_Wat_Wet,,,LC
Megophrys major,AMPHIBIAN,For_Wet,,,LC
Rhacophorus rhodopus,AMPHIBIAN,For_Wet,2100.0,250.0,LC
Rhacophorus maximus,AMPHIBIAN,For_Wat_Wet,,,LC
Fejervarya limnocharis,AMPHIBIAN,Cro_For_Gra_Imp_Wat_Wet,2000.0,0.0,LC
Duttaphrynus melanostictus,AMPHIBIAN,Cro_Imp_Wat,,,LC
Kurixalus appendiculatus,AMPHIBIAN,For_Shr_Wet,,,LC
Polypedates leucomystax,AMPHIBIAN,Cro_For_Gra_Imp_Shr_Wat_Wet,,,LC
Circus melanoleucos,BIRD,Cro_Gra_Shr_Wet,2100.0,,LC
Cuculus optatus,BIRD,For_Shr,4500.0,0.0,LC
Cuculus saturatus,BIRD,For,4500.0,0.0,LC
Falco cherrug,BIRD,Cro_For_Gra_Shr_Wat_Wet,4700.0,0.0,EN
