name,type,habitat,ele_upper,ele_lower,category
Paramesotriton longliensis,AMPHIBIAN,For_Wat,1200.0,1100.0,VU
Quasipaa boulengeri,AMPHIBIAN,Wet,,,EN
Odorrana schmackeri,AMPHIBIAN,For_Wet,,,LC
Odorrana margaretae,AMPHIBIAN,For_Wet,,,LC
Leptobrachella oshanensis,AMPHIBIAN,For_Wet,1800.0,600.0,LC
Oreolalax rhodostigmatus,AMPHIBIAN,For_Wet,2000.0,500.0,VU
Bufo gargarizans,AMPHIBIAN,Cro_For_Gra_Shr_Wat,4300.0,2.0,LC
Pelophylax nigromaculatus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,,,NT
Odorrana grahami,AMPHIBIAN,For_Gra_Shr_Wet,,,NT
Rana chaochiaoensis,AMPHIBIAN,For_Gra_Shr_Wat_Wet,3500.0,1150.0,LC
Nidirana pleuraden,AMPHIBIAN,Wat_Wet,2300.0,1150.0,LC
Bombina maxima,AMPHIBIAN,Cro_Wat_Wet,,,LC
Odorrana anlungensis,AMPHIBIAN,For_Wet,1550.0,1480.0,EN
Tylototriton kweichowensis,AMPHIBIAN,Gra_Shr_Wet,2400.0,1500.0,VU
Megophrys minor,AMPHIBIAN,For_Wet,,,LC
Nanorana yunnanensis,AMPHIBIAN,For_Gra_Wat_Wet,,,EN
Quasipaa spinosa,AMPHIBIAN,For_Gra_Wet,,,VU
Polypedates megacephalus,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,1600.0,0.0,LC
Megophrys platyparietus,AMPHIBIAN,For_Wet,,,LC
Odorrana kweichowensis,AMPHIBIAN,For_Wet,1000.0,700.0,VU
Hylarana latouchii,AMPHIBIAN,For_Wat_Wet,1500.0,30.0,LC
Zhangixalus feae,AMPHIBIAN,For_Wet,2000.0,600.0,LC
Hyla annectans,AMPHIBIAN,Cro_For_Imp_Wat_Wet,,,LC
Sylvirana guentheri,AMPHIBIAN,Wat_Wet,1100.0,,LC
Polypedates mutus,AMPHIBIAN,For_Wat_Wet,,,LC
Kurixalus odontotarsus,AMPHIBIAN,For_Shr_Wat_Wet,,,LC
Microhyla pulchra,AMPHIBIAN,Cro_For_Gra_Shr_Wat,1100.0,0.0,LC
Microhyla butleri,AMPHIBIAN,For_Shr_Wat_Wet,1500.0,220.0,LC
Megophrys microstoma,AMPHIBIAN,For_Wet,1220.0,330.0,LC
Hoplobatrachus rugulosus,AMPHIBIAN,Cro_Imp_Wat,,,LC
Microhyla fissipes,AMPHIBIAN,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,0.0,LC
Fejervarya limnocharis,AMPHIBIAN,Cro_For_Gra_Imp_Wat_Wet,2000.0,0.0,LC
Duttaphrynus melanostictus,AMPHIBIAN,Cro_Imp_Wat,,,LC
Microhyla heymonsi,AMPHIBIAN,Cro_For_Gra_Shr_Wat_Wet,,,LC
Asio otus,BIRD,For_Gra_Shr_Wet,2750.0,0.0,LC
Buteo japonicus,BIRD,Cro_For_Gra_Shr_Wet,2500.0,0.0,LC
Circus cyaneus,BIRD,Cro_For_Gra_Shr_Wet,3000.0,0.0,LC
Circus melanoleucos,BIRD,Cro_Gra_Shr_Wet,2100.0,,LC
Circus spilonotus,BIRD,Cro_Gra_Wat_Wet,2000.0,0.0,LC
Cuculus optatus,BIRD,For_Shr,4500.0,0.0,LC
Cuculus saturatus,BIRD,For,4500.0,0.0,LC
Falco amurensis,BIRD,Cro_For_Gra_Wet,,,LC
Falco columbarius,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,,,LC
Falco severus,BIRD,Cro_For_Gra,2600.0,0.0,LC
Falco tinnunculus,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,3500.0,0.0,LC
Glaucidium brodiei,BIRD,For_Shr,2750.0,1350.0,LC
Haliaeetus leucoryphus,BIRD,Wet,5000.0,,EN
Nisaetus nipalensis,BIRD,For,4000.0,600.0,NT
Pernis ptilorhynchus,BIRD,For_Gra,1800.0,0.0,LC
Graminicola striatus,BIRD,Gra_Wet,900.0,,NT
Aquila nipalensis,BIRD,Bar_For_Gra,3000.0,0.0,EN
Ardea intermedia,BIRD,For_Gra_Wat_Wet,1450.0,,LC
Saxicola torquatus,BIRD,Cro_For_Gra_Imp_Shr_Wet,3200.0,,LC
Anas crecca,BIRD,Cro_For_Shr_Wat_Wet,,,LC
Upupa epops,BIRD,Gra_Imp,3650.0,,LC
Milvus migrans,BIRD,Bar_Cro_For_Imp_Shr_Wat_Wet,4900.0,0.0,LC
Oroanassa magnifica,BIRD,For_Wet,,,EN
Coracina javensis,BIRD,For_Gra,,,LC
Accipiter badius,BIRD,For_Gra_Imp_Shr,2200.0,0.0,LC
Acrocephalus stentoreus,BIRD,For_Gra_Shr_Wet,3000.0,,LC
Anthus cervinus,BIRD,Cro_Shr_Wat_Wet,2500.0,,LC
Anthus richardi,BIRD,Cro,1800.0,,LC
Anthus rubescens,BIRD,Cro_Gra_Wat_Wet,2700.0,,LC
Apus pacificus,BIRD,For_Imp,4000.0,,LC
Aquila heliaca,BIRD,Cro_For_Gra_Shr_Wet,1600.0,0.0,VU
Ardea alba,BIRD,Gra_Wat_Wet,1500.0,,LC
Ardea cinerea,BIRD,For_Gra_Wat_Wet,4000.0,,LC
Ardea purpurea,BIRD,For_Shr_Wat_Wet,1800.0,,LC
Bubulcus ibis,BIRD,Cro_For_Gra_Wet,4080.0,,LC
Charadrius dubius,BIRD,For_Gra_Imp_Wat_Wet,800.0,,LC
Cuculus canorus,BIRD,For_Gra_Shr,3800.0,,LC
Cyanecula svecica,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,,LC
