name,type,habitat,ele_upper,ele_lower,category
Duttaphrynus himalayanus,AMPHIBIAN,Cro_For_Shr_Wat_Wet,,,LC
Raorchestes andersoni,AMPHIBIAN,For_Wet,,,LC
Kurixalus naso,AMPHIBIAN,For_Gra_Shr_Wet,,,DD
Amolops gerbillus,AMPHIBIAN,For_Shr_Wet,,,LC
Nanorana arnoldi,AMPHIBIAN,For_Wet,,,NT
Amolops kaulbacki,AMPHIBIAN,For,1000.0,900.0,DD
Duttaphrynus stuarti,AMPHIBIAN,For,,,DD
Amolops monticola,AMPHIBIAN,For_Wet,,,LC
Amolops formosus,AMPHIBIAN,For_Wet,,,LC
Theloderma moloch,AMPHIBIAN,For_Shr,,,VU
Raorchestes annandalii,AMPHIBIAN,For_Shr,,,LC
Raorchestes parvulus,AMPHIBIAN,For_Gra_Shr_Wet,1500.0,46.0,LC
Chirixalus nongkhorensis,AMPHIBIAN,For_Shr_Wet,1660.0,78.0,LC
Ingerana borealis,AMPHIBIAN,For_Wat_Wet,,,VU
Tylototriton panwaensis,AMPHIBIAN,For_Wet,2256.0,1276.0,DD
Hylarana garoensis,AMPHIBIAN,For_Gra_Shr_Wet,,,LC
Megophrys boettgeri,AMPHIBIAN,For_Wet,,,LC
Hoplobatrachus tigerinus,AMPHIBIAN,Cro_For_Gra_Imp_Wat_Wet,,,LC
Zhangixalus feae,AMPHIBIAN,For_Wet,2000.0,600.0,LC
Amolops marmoratus,AMPHIBIAN,For_Wet,,,LC
Polypedates maculatus,AMPHIBIAN,For_Imp_Shr_Wat,,,LC
Megophrys parva,AMPHIBIAN,For_Wet,,,LC
Uperodon globulosus,AMPHIBIAN,Cro_For_Wat_Wet,,,LC
Chirixalus doriae,AMPHIBIAN,For_Shr_Wat_Wet,1630.0,,LC
Microhyla ornata,AMPHIBIAN,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,0.0,LC
Rohanixalus vittatus,AMPHIBIAN,For_Gra_Wat_Wet,,,LC
Megophrys major,AMPHIBIAN,For_Wet,,,LC
Hydrophylax leptoglossa,AMPHIBIAN,For_Wet,700.0,15.0,LC
Rhacophorus rhodopus,AMPHIBIAN,For_Wet,2100.0,250.0,LC
Rhacophorus maximus,AMPHIBIAN,For_Wat_Wet,,,LC
Rhacophorus kio,AMPHIBIAN,For_Wet,1800.0,200.0,LC
Microhyla fissipes,AMPHIBIAN,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,0.0,LC
Fejervarya limnocharis,AMPHIBIAN,Cro_For_Gra_Imp_Wat_Wet,2000.0,0.0,LC
Duttaphrynus melanostictus,AMPHIBIAN,Cro_Imp_Wat,,,LC
